time	minute	gamePid	loginPid	gameCpuSeconds	gameWorkingSetBytes	gameThreads	heapUsedM	heapMaxM	heapPercent	dbConnections	managed	linked	distinctNames	distinctAccounts	duplicateNames	duplicateAccounts	fatalMarkers
2026-09-26T18:28:59+03:00	30	28376	27700	573,59	4584914944	160	3372	4096	82,32	15	2147	2145	2145	2145	0	0	0
2026-09-26T18:29:51+03:00	31	28376	27700	589	4585029632	160	3752	4096	91,6	15	2172	2170	2170	2170	0	0	0
2026-09-26T18:30:43+03:00	32	28376	27700	604,78	4585037824	160	3504	4096	85,55	13	2197	2195	2195	2195	0	0	0
2026-09-26T18:31:34+03:00	33	28376	27700	619,95	4585099264	160	3478	4096	84,91	13	2223	2221	2221	2221	0	0	0
2026-09-26T18:32:26+03:00	34	28376	27700	635,06	4586274816	161	3496	4096	85,35	13	2249	2247	2247	2247	0	0	0
2026-09-26T18:33:17+03:00	35	28376	27700	649,75	4585136128	160	3612	4096	88,18	13	2274	2272	2272	2272	0	0	0
2026-09-26T18:34:09+03:00	36	28376	27700	664,17	4585140224	160	3772	4096	92,09	14	2301	2299	2299	2299	0	0	0
2026-09-26T18:35:01+03:00	37	28376	27700	680,23	4586098688	160	3590	4096	87,65	13	2326	2324	2324	2324	0	0	0
2026-09-26T18:35:53+03:00	38	28376	27700	699,16	4588515328	162	3226	4096	78,76	14	2352	2350	2350	2350	0	0	0
2026-09-26T18:36:44+03:00	39	28376	27700	714,8	4588347392	160	3320	4096	81,05	14	2378	2376	2376	2376	0	0	0
2026-09-26T18:37:36+03:00	40	28376	27700	727,97	4587327488	160	3324	4096	81,15	14	2403	2401	2401	2401	0	0	0
2026-09-26T18:38:28+03:00	41	28376	27700	739,59	4582076416	160	3578	4096	87,35	14	2429	2427	2427	2427	0	0	0
2026-09-26T18:39:20+03:00	42	28376	27700	750,89	4582080512	160	3850	4096	93,99	14	2453	2451	2451	2451	0	0	0
2026-09-26T18:40:11+03:00	43	28376	27700	762,27	4583141376	160	3696	4096	90,23	14	2478	2476	2476	2476	0	0	0
2026-09-26T18:41:03+03:00	44	28376	27700	777,2	4582363136	161	3278	4096	80,03	13	2504	2502	2502	2502	0	0	0
2026-09-26T18:41:55+03:00	45	28376	27700	788,17	4582363136	160	3744	4096	91,41	14	2530	2528	2528	2528	0	0	0
2026-09-26T18:42:47+03:00	46	28376	27700	800,31	4582170624	160	3388	4096	82,71	14	2556	2554	2554	2554	0	0	0
2026-09-26T18:43:38+03:00	47	28376	27700	811,02	4582305792	160	3450	4096	84,23	13	2580	2578	2578	2578	0	0	0
2026-09-26T18:44:30+03:00	48	28376	27700	821,98	4582121472	160	3572	4096	87,21	13	2606	2604	2604	2604	0	0	0
2026-09-26T18:45:22+03:00	49	28376	27700	833,36	4582240256	160	3358	4096	81,98	14	2630	2628	2628	2628	0	0	0
2026-09-26T18:46:14+03:00	50	28376	27700	848,69	4584202240	160	3504	4096	85,55	15	2656	2654	2654	2654	0	0	0
