time	minute	gamePid	loginPid	gameCpuSeconds	gameWorkingSetBytes	gameThreads	heapUsedM	heapMaxM	heapPercent	dbConnections	managed	linked	distinctNames	distinctAccounts	duplicateNames	duplicateAccounts	fatalMarkers	backgroundState	backgroundCatchup	ecology	ready	unfinished
2026-09-26T21:01:20+03:00	9	24844	14096	330,38	4636311552	161	3840	4096	93,75	14	6514	6512	6512	6512	0	0	0	6131	6131	6514	6512	2
2026-09-26T21:02:16+03:00	10	24844	14096	347,16	4639965184	162	3626	4096	88,53	15	6540	6538	6538	6538	0	0	0	6158	6158	6540	6538	2
2026-09-26T21:03:13+03:00	11	24844	14096	360,06	4639944704	160	3750	4096	91,55	15	6573	6571	6571	6571	0	0	0	6209	6209	6573	6572	1
2026-09-26T21:04:10+03:00	12	24844	14096	372,97	4641611776	160	3566	4096	87,06	15	6735	6733	6733	6733	0	0	0	6461	6461	6735	6734	1
2026-09-26T21:05:06+03:00	13	24844	14096	385,81	4640202752	160	3496	4096	85,35	15	6778	6776	6776	6776	0	0	0	6511	6511	6778	6776	2
2026-09-26T21:06:03+03:00	14	24844	14096	398,55	4639457280	160	3460	4096	84,47	14	6791	6789	6789	6789	0	0	0	6523	6523	6791	6789	2
2026-09-26T21:07:00+03:00	15	24844	14096	410,03	4640899072	160	3638	4096	88,82	14	6946	6944	6944	6944	0	0	0	6661	6661	6946	6944	2
2026-09-26T21:07:57+03:00	16	24844	14096	426,52	4633972736	161	3362	4096	82,08	15	7038	7036	7036	7036	0	0	0	6744	6744	7038	7036	2
2026-09-26T21:08:53+03:00	17	24844	14096	440,16	4632588288	160	3700	4096	90,33	14	7054	7052	7052	7052	0	0	0	6756	6756	7054	7052	2
2026-09-26T21:09:50+03:00	18	24844	14096	453,38	4634910720	160	3346	4096	81,69	14	7163	7161	7161	7161	0	0	0	6863	6863	7163	7161	2
2026-09-26T21:10:47+03:00	19	24844	14096	466,27	4634906624	160	3650	4096	89,11	14	7291	7289	7289	7289	0	0	0	6999	6999	7291	7289	2
2026-09-26T21:11:43+03:00	20	24844	14096	479,31	4614676480	160	3448	4096	84,18	14	7307	7305	7305	7305	0	0	0	7016	7016	7307	7305	2
2026-09-26T21:12:40+03:00	21	24844	14096	496,23	4610330624	160	3584	4096	87,5	14	7353	7351	7351	7351	0	0	0	7055	7055	7353	7351	2
2026-09-26T21:13:37+03:00	22	24844	14096	509,03	4613296128	160	3812	4096	93,07	14	7511	7509	7509	7509	0	0	0	7199	7199	7511	7509	2
2026-09-26T21:14:33+03:00	23	24844	14096	521,91	4612669440	160	3776	4096	92,19	15	7582	7580	7580	7580	0	0	0	7267	7267	7582	7580	2
2026-09-26T21:15:30+03:00	24	24844	14096	534,02	4611497984	160	3388	4096	82,71	14	7602	7600	7600	7600	0	0	0	7286	7286	7602	7600	2
2026-09-26T21:16:27+03:00	25	24844	14096	546,27	4612988928	160	3632	4096	88,67	14	7689	7687	7687	7687	0	0	0	7385	7385	7689	7687	2
2026-09-26T21:17:23+03:00	26	24844	14096	562,14	4609089536	161	3734	4096	91,16	14	7830	7828	7828	7828	0	0	0	7513	7513	7830	7828	2
2026-09-26T21:18:20+03:00	27	24844	14096	574,09	4608684032	160	3742	4096	91,36	14	7861	7859	7859	7859	0	0	0	7547	7547	7861	7859	2
2026-09-26T21:19:17+03:00	28	24844	14096	586,44	4607680512	160	3484	4096	85,06	13	7873	7871	7871	7871	0	0	0	7572	7572	7873	7871	2
2026-09-26T21:20:13+03:00	29	24844	14096	599,02	4609613824	160	3532	4096	86,23	14	8008	8006	8006	8006	0	0	0	7689	7689	8008	8006	2
2026-09-26T21:21:10+03:00	30	24844	14096	611,89	4609548288	160	3654	4096	89,21	15	8130	8128	8128	8128	0	0	0	7809	7809	8130	8128	2
2026-09-26T21:22:07+03:00	31	24844	14096	625,05	4594343936	160	3470	4096	84,72	14	8153	8151	8151	8151	0	0	0	7826	7826	8153	8151	2
2026-09-26T21:23:03+03:00	32	24844	14096	641,73	4595372032	160	3390	4096	82,76	15	8167	8165	8165	8165	0	0	0	7838	7838	8167	8165	2
2026-09-26T21:24:00+03:00	33	24844	14096	654,69	4596019200	160	3460	4096	84,47	14	8299	8297	8297	8297	0	0	0	7983	7983	8299	8298	1
2026-09-26T21:24:57+03:00	34	24844	14096	667,31	4598226944	161	3290	4096	80,32	15	8416	8414	8414	8414	0	0	0	8093	8093	8416	8414	2
2026-09-26T21:25:53+03:00	35	24844	14096	680,39	4596277248	160	3498	4096	85,4	14	8442	8440	8440	8440	0	0	0	8115	8115	8442	8440	2
2026-09-26T21:26:50+03:00	36	24844	14096	693,06	4596277248	160	3488	4096	85,16	14	8465	8463	8463	8463	0	0	0	8136	8136	8465	8463	2
2026-09-26T21:27:47+03:00	37	24844	14096	709,95	4596543488	160	3618	4096	88,33	14	8593	8591	8591	8591	0	0	0	8261	8261	8593	8591	2
2026-09-26T21:28:43+03:00	38	24844	14096	723,09	4596637696	160	3740	4096	91,31	15	8708	8706	8706	8706	0	0	0	8376	8376	8708	8706	2
2026-09-26T21:29:40+03:00	39	24844	14096	736,17	4596047872	160	3356	4096	81,93	15	8728	8726	8726	8726	0	0	0	8401	8401	8728	8726	2
2026-09-26T21:30:37+03:00	40	24844	14096	749,06	4595253248	160	3390	4096	82,76	15	8749	8747	8747	8747	0	0	0	8420	8420	8749	8747	2
2026-09-26T21:31:34+03:00	41	24844	14096	762,44	4598865920	160	3346	4096	81,69	14	8886	8884	8884	8884	0	0	0	8524	8524	8886	8884	2
2026-09-26T21:32:30+03:00	42	24844	14096	777,95	4598751232	160	3520	4096	85,94	14	9003	9001	9001	9001	0	0	0	8638	8638	9003	9001	2
2026-09-26T21:33:27+03:00	43	24844	14096	791,56	4597948416	161	3838	4096	93,7	14	9062	9060	9060	9060	0	0	0	8683	8683	9062	9060	2
2026-09-26T21:34:24+03:00	44	24844	14096	803,48	4598013952	162	3666	4096	89,5	15	9086	9084	9084	9084	0	0	0	8697	8697	9086	9084	2
2026-09-26T21:35:20+03:00	45	24844	14096	816,02	4599201792	160	3642	4096	88,92	14	9167	9165	9165	9165	0	0	0	8790	8790	9167	9166	1
2026-09-26T21:36:17+03:00	46	24844	14096	829,06	4599361536	160	3584	4096	87,5	14	9303	9301	9301	9301	0	0	0	8910	8910	9303	9301	2
2026-09-26T21:36:31+03:00	47	24844	14096	832,36	4599377920	160	3470	4096	84,72	14	9326	9324	9324	9324	0	0	0	8938	8938	9326	9325	1
