connector_id	component_id	search_radius	candidate_rank	direction	from_id	to_id	from_x	from_y	from_z	to_x	to_y	to_z	from_instance	to_instance	validation_status	path_length	path_segments	source_refs
bridge.02bae829ff0ad85842bfb56f	component.20a0c83d40a7bb22c26e0395	32768	5	R	generated.farm.f137dbbc3ac90f445b806c09.anchor	generated.farm.36714f071123eedc9cac6c05.anchor	25328	-15199	-2744	28436	11041	-4232	0	0	NO_PATH	0	0	data/spawns/Rune/PrimevalIsle.xml|data/spawns/Others/Gremlins.xml
bridge.02bca8f5bb8f79e38ffdb13b	component.e155a1307403cc14572bd687	32768	9	F	population.route.dwarf.i06-w0	generated.farm.420ed35f1a9a3f532e2d6045.anchor	108616	-174152	-408	101973	-149349	-3128	0	0	NO_PATH	0	0	data/stats/players/templates/StartingClass/DwarvenFighter.xml|data/spawns/DwarvenTerritory/DwarvenStarting.xml|data/spawns/Others/PlunderousPlains.xml
bridge.02d4b4d90f70d88d62075ab2	component.2c4a1d8ed5506d43bb6025d3	32768	4	F	generated.farm.df677844f3af094815e984cc.anchor	generated.farm.f3fef88cab3be544b94bb305.anchor	175556	-188129	-1672	165484	-207409	-3496	0	0	NO_PATH	0	0	data/spawns/DwarvenTerritory/DwarvenStarting.xml|data/spawns/DwarvenTerritory/DwarvenStarting.xml
bridge.02e8722c03619736460b2925	component.4562799c5dc584243d56e35b	32768	4	R	generated.farm.bff7beafbd229e70fb09ec46.anchor	population.route.orc.a3	-52728	-86971	-8320	-50845	-113715	-168	0	0	NO_PATH	0	0	data/spawns/Others/KrateisCube.xml|data/stats/players/templates/StartingClass/OrcFighter.xml|data/stats/players/templates/StartingClass/OrcMystic.xml|data/spawns/OrcTerritory/OrcStarting.xml
bridge.02f350306d6ebe137cb701a6	component.475c48156e62e7e47cb30765	32768	5	F	population.ingress.orc.01	generated.farm.bd35d5fb02b6c1c76b448822.anchor	-56733	-113459	-672	-48720	-82958	-8320	0	0	NO_PATH	0	0	data/stats/players/templates/StartingClass/OrcFighter.xml|data/stats/players/templates/StartingClass/OrcMystic.xml|data/spawns/Others/KrateisCube.xml
bridge.0319a866067f7a448dee18f4	component.91a9f940fd17192b7296dafb	32768	5	R	generated.farm.c2fab2e4269c72a597f3b7a9.anchor	population.ingress.dark-elf.04	19916	-9610	-2824	28456	10997	-4232	0	0	NO_PATH	0	0	data/spawns/Rune/PrimevalIsle.xml|data/stats/players/templates/StartingClass/DarkFighter.xml|data/stats/players/templates/StartingClass/DarkMystic.xml
bridge.033886fb9c4f9ff042b29f6d	component.21c159db00da4bc03daf51c5	32768	8	R	generated.farm.a0a916d344116254f0d4e3f5.anchor	population.ingress.elf.03	31295	61887	-3544	46182	41198	-3504	0	0	NO_PATH	0	0	data/spawns/ElvenTerritory/ElvenStarting.xml|data/stats/players/templates/StartingClass/ElvenFighter.xml|data/stats/players/templates/StartingClass/ElvenMystic.xml
bridge.033bb483bdc96019da0d6d24	component.ac8aaf293b35ddbae57a8843	8192	2	R	generated.farm.1a1d5ca5583b453d5a406cfa.anchor	generated.farm.58356b4e9844a379fecfbaf6.anchor	39605	36319	-3600	42118	41401	-3488	0	0	NO_PATH	0	0	data/spawns/ElvenTerritory/ElvenStarting.xml|data/spawns/ElvenTerritory/ElvenStarting.xml
bridge.034d971ba2d428a9ad59e77a	component.21c159db00da4bc03daf51c5	32768	2	R	generated.farm.a0a916d344116254f0d4e3f5.anchor	generated.farm.58356b4e9844a379fecfbaf6.anchor	31295	61887	-3544	42118	41401	-3488	0	0	NO_PATH	0	0	data/spawns/ElvenTerritory/ElvenStarting.xml|data/spawns/ElvenTerritory/ElvenStarting.xml
bridge.037060998070f363672868c2	component.c4a3508d330e9bb2f8bdfabb	32768	3	R	generated.farm.1050dd36c58d668d206a6075.anchor	population.route.orc.a1	-48721	-84968	-8320	-54685	-113715	-520	0	0	NO_PATH	0	0	data/spawns/Others/KrateisCube.xml|data/stats/players/templates/StartingClass/OrcFighter.xml|data/stats/players/templates/StartingClass/OrcMystic.xml|data/spawns/OrcTerritory/OrcStarting.xml
bridge.0374d00aa78be64e10257903	component.d5d468daa4bebd1a4eb327d6	32768	8	F	population.farming.dark-elf.20529	generated.farm.b8e223341be05b45a19768c2.anchor	25308	13254	-3648	5975	-9197	-3696	0	0	NO_PATH	0	0	data/spawns/DarkElfTerritory/DarkElfStarting.xml|data/spawns/Rune/PrimevalIsle.xml
bridge.0380ddd106251a89da855250	component.d4239fbe60250487003bb4fd	32768	8	R	generated.farm.c4067c834f12b99e976909a2.anchor	population.ingress.elf.04	26607	63533	-3552	46115	41141	-3504	0	0	VALID_DIRECT	29698	1	data/spawns/ElvenTerritory/ElvenStarting.xml|data/stats/players/templates/StartingClass/ElvenFighter.xml|data/stats/players/templates/StartingClass/ElvenMystic.xml
bridge.038a3a0c8d2d24ca82b85be7	component.ff75e3e7e0f1b27f3a0af453	32768	4	R	generated.farm.25b75a8a47aae59991e9540b.anchor	generated.farm.475038779aaee6a2e82aa06b.anchor	187276	-204256	-2848	175552	-186630	-1280	0	0	NO_PATH	0	0	data/spawns/DwarvenTerritory/DwarvenStarting.xml|data/spawns/DwarvenTerritory/DwarvenStarting.xml
bridge.03e8b0ff589a4ccbd6372d66	component.df33433dc147309d6dc09abc	32768	9	F	population.ingress.orc.05	generated.farm.9bd77ed2d0a9c062814dc873.anchor	-56743	-113757	-672	-46721	-82961	-8320	0	0	NO_PATH	0	0	data/stats/players/templates/StartingClass/OrcFighter.xml|data/stats/players/templates/StartingClass/OrcMystic.xml|data/spawns/Others/KrateisCube.xml
bridge.04025085f317e746204ea3eb	component.01b441ae383a1b39494050f4	32768	9	F	population.ingress.dark-elf.06	generated.farm.9cf6fa1ef953b5b33ff9fe37.anchor	28395	11127	-4232	13666	-12273	-3024	0	0	NO_PATH	0	0	data/stats/players/templates/StartingClass/DarkFighter.xml|data/stats/players/templates/StartingClass/DarkMystic.xml|data/spawns/Rune/PrimevalIsle.xml
bridge.040906b16a2df8df5bb037f7	component.ff75e3e7e0f1b27f3a0af453	32768	1	F	generated.farm.77743197e238ebb0e1e3eac2.anchor	generated.farm.25b75a8a47aae59991e9540b.anchor	175207	-189475	-2304	187276	-204256	-2848	0	0	NO_PATH	0	0	data/spawns/DwarvenTerritory/DwarvenStarting.xml|data/spawns/DwarvenTerritory/DwarvenStarting.xml
bridge.0483afab3aa26cc04942ac9e	component.91a9f940fd17192b7296dafb	32768	6	F	population.ingress.dark-elf.01	generated.farm.c2fab2e4269c72a597f3b7a9.anchor	28295	11063	-4232	19916	-9610	-2824	0	0	NO_PATH	0	0	data/stats/players/templates/StartingClass/DarkFighter.xml|data/stats/players/templates/StartingClass/DarkMystic.xml|data/spawns/Rune/PrimevalIsle.xml
bridge.04930b9e83e18ceedbf372cd	component.7ac05038c3bef737cc075e57	32768	2	R	generated.farm.bb702948232c55cac9ca51ca.anchor	generated.farm.c4067c834f12b99e976909a2.anchor	4864	77212	-3616	26607	63533	-3552	0	0	NO_PATH	0	0	data/spawns/ElvenTerritory/ElvenStarting.xml|data/spawns/ElvenTerritory/ElvenStarting.xml
bridge.049a8aa85a7edc6d72269e34	component.89c4c607fc4fee76637095fd	16384	11	F	population.farming.elf.20534	generated.farm.57a38f13450e54452b749339.anchor	44126	42751	-3488	52710	55450	-3320	0	0	NO_PATH	0	0	data/spawns/ElvenTerritory/ElvenStarting.xml|data/spawns/ElvenTerritory/ElvenStarting.xml
bridge.04a0bee43820fc67fdd0f0e4	component.ac8aaf293b35ddbae57a8843	8192	6	R	generated.farm.0c00c3760a3ec18fa034d798.anchor	population.ingress.elf.05	38303	39146	-3576	46048	41141	-3504	0	0	NO_PATH	0	0	data/spawns/ElvenTerritory/ElvenStarting.xml|data/stats/players/templates/StartingClass/ElvenFighter.xml|data/stats/players/templates/StartingClass/ElvenMystic.xml
bridge.04c4ae5ea5a3a9a9c946f032	component.ba083b6371fa0acdb077e91c	8192	11	F	population.farming.orc.20535	generated.farm.eda8543a4ab4d30e028f9b97.anchor	-49106	-115854	-160	-56273	-113606	-672	0	0	NO_PATH	0	0	data/spawns/OrcTerritory/OrcStarting.xml|data/spawns/Others/Gremlins.xml
bridge.04eddd6b26d8bfab73774452	component.e04c7af9711cc5dd2a0ac987	16384	6	F	population.route.human-mystic.a1	generated.farm.c566a65e22d07a92230b56a2.anchor	-89304	249848	-3568	-95163	237296	-3408	0	0	NO_PATH	0	0	data/stats/players/templates/StartingClass/HumanMystic.xml|data/spawns/TalkingIsland/TalkingIslandMonsters.xml|data/spawns/TalkingIsland/TalkingIslandMonsters.xml
bridge.04fb01cb236129811995cfd8	component.17d39984ff40b347b4bbe819	8192	2	R	generated.farm.c9e89f5704213c9f66eb9b98.anchor	generated.farm.ccd05d96d24167ee9a70c395.anchor	168800	-191413	-2792	173397	-189657	-2016	0	0	NO_PATH	0	0	data/spawns/DwarvenTerritory/DwarvenStarting.xml|data/spawns/DwarvenTerritory/DwarvenStarting.xml
bridge.055d91f5e6258ff1c93be7f3	component.214784823dfee247eabd4cc1	16384	7	F	population.route.orc.a3	generated.farm.e685f7e7994e7e1f1e589631.anchor	-50845	-113715	-168	-37492	-118051	-1712	0	0	NO_PATH	0	0	data/stats/players/templates/StartingClass/OrcFighter.xml|data/stats/players/templates/StartingClass/OrcMystic.xml|data/spawns/OrcTerritory/OrcStarting.xml|data/spawns/OrcTerritory/OrcStarting.xml
bridge.0571dda4befc37dd4e7d0255	component.1331db1a6d957945bfb43b8d	8192	14	R	generated.farm.78d792f9dc16f4ce4003c1ae.anchor	population.ingress.elf.01	50626	40925	-3464	46045	41251	-3504	0	0	NO_PATH	0	0	data/spawns/ElvenTerritory/ElvenStarting.xml|data/stats/players/templates/StartingClass/ElvenFighter.xml|data/stats/players/templates/StartingClass/ElvenMystic.xml
bridge.05ffe1d71abcf938a853b7ee	component.635e8cdeb1b598aac805b64c	32768	4	R	talking-island.farming.gludio31-1624-11s	population.ingress.human-mystic.01	-103448	227187	-3672	-90875	248162	-3568	0	0	NO_PATH	0	0	data/spawns/TalkingIsland/TalkingIslandMonsters.xml|data/stats/players/templates/StartingClass/HumanMystic.xml
bridge.0613211bec855688d33a05bc	component.2c7e3c336954be75db3a7f7d	32768	1	R	generated.farm.9eb7152622bad01eeb33f1c4.anchor	population.ingress.dark-elf.03	25906	-16833	-2744	28377	10916	-4232	0	0	NO_PATH	0	0	data/spawns/Rune/PrimevalIsle.xml|data/stats/players/templates/StartingClass/DarkFighter.xml|data/stats/players/templates/StartingClass/DarkMystic.xml
bridge.063be826d1456617f43c4e8f	component.10e204556f859c1b294aeca4	32768	1	F	generated.farm.aa29c1792ab359df7ec6bdd3.anchor	generated.farm.01d45fe32598e8270dab20b2.anchor	144241	-204346	-3128	157239	-220265	-3600	0	0	NO_PATH	0	0	data/spawns/DwarvenTerritory/DwarvenStarting.xml|data/spawns/DwarvenTerritory/DwarvenStarting.xml
bridge.0644788d842e2a79f6fd1b07	component.fa8902bdab910bb205f46118	16384	2	F	population.farming.dwarf.20533	generated.farm.e906a4f684b66f9c100d44e1.anchor	114966	-172886	-672	114049	-161398	-1480	0	0	NO_PATH	0	0	data/spawns/DwarvenTerritory/DwarvenStarting.xml|data/spawns/Others/PlunderousPlains.xml
bridge.0665391713af40a3c1d4418b	component.afb4654f40fcb37d4c7adb45	32768	1	R	elven.farming.oren04-2019-16s	generated.farm.c4067c834f12b99e976909a2.anchor	9736	49578	-3664	26607	63533	-3552	0	0	NO_PATH	0	0	data/spawns/ElvenTerritory/ElvenStarting.xml|data/spawns/ElvenTerritory/ElvenStarting.xml
bridge.066e176bf379ce03bb3e1a3d	component.79ad21df45b89fa5bb86a4fd	32768	9	F	population.ingress.elf.04	generated.farm.5dc8ced237dc324aa37b6530.anchor	46115	41141	-3504	51605	70249	-3408	0	0	NO_PATH	0	0	data/stats/players/templates/StartingClass/ElvenFighter.xml|data/stats/players/templates/StartingClass/ElvenMystic.xml|data/spawns/ElvenTerritory/ElvenStarting.xml
bridge.068476969d86a4bf45a9acb0	component.e837182a129d9a9bac7e6672	8192	2	R	generated.farm.1bc0806803391550b59b5dd7.anchor	generated.farm.df677844f3af094815e984cc.anchor	173413	-187077	-488	175556	-188129	-1672	0	0	PATH_SEGMENT_BLOCKED	0	0	data/spawns/DwarvenTerritory/DwarvenStarting.xml|data/spawns/DwarvenTerritory/DwarvenStarting.xml
bridge.06a7142db2162271ceed534e	component.6649966768b82f83ad664d97	32768	3	R	generated.farm.39e870280a474549df7725fe.anchor	population.route.orc.a3	-21626	-116308	-2984	-50845	-113715	-168	0	0	NO_PATH	0	0	data/spawns/OrcTerritory/OrcStarting.xml|data/stats/players/templates/StartingClass/OrcFighter.xml|data/stats/players/templates/StartingClass/OrcMystic.xml|data/spawns/OrcTerritory/OrcStarting.xml
bridge.06ab4617a7f8e902c41d7441	component.e9ea386cf0bd55a495081c3d	32768	10	R	elven.farming.oren04-2019-08s	generated.farm.d6f82637bd6fae44cd109781.anchor	17170	46114	-3568	48366	42521	-3472	0	0	NO_PATH	0	0	data/spawns/ElvenTerritory/ElvenStarting.xml|data/spawns/ElvenTerritory/ElvenStarting.xml
bridge.06b524360415fa1bbfee53d1	component.4562799c5dc584243d56e35b	32768	9	R	generated.farm.bff7beafbd229e70fb09ec46.anchor	population.ingress.orc.05	-52728	-86971	-8320	-56743	-113757	-672	0	0	NO_PATH	0	0	data/spawns/Others/KrateisCube.xml|data/stats/players/templates/StartingClass/OrcFighter.xml|data/stats/players/templates/StartingClass/OrcMystic.xml
bridge.06db2503680cd5e6bc9d625e	component.c8a8b60142ed368a7d7be480	32768	13	R	generated.farm.64e1872735f98ad838918703.anchor	population.ingress.dark-elf.02	23186	-20161	-2704	28302	11008	-4232	0	0	NO_PATH	0	0	data/spawns/Rune/PrimevalIsle.xml|data/stats/players/templates/StartingClass/DarkFighter.xml|data/stats/players/templates/StartingClass/DarkMystic.xml
bridge.070a1a7a89b3e66679c9a831	component.43988bed6a656186e489a9b7	32768	6	F	population.ingress.elf.01	generated.farm.88cab6697f22f34bf81c16f7.anchor	46045	41251	-3504	53010	23851	-5384	0	0	NO_PATH	0	0	data/stats/players/templates/StartingClass/ElvenFighter.xml|data/stats/players/templates/StartingClass/ElvenMystic.xml|data/spawns/Oren/SeaOfSpores.xml
bridge.071e76513385822e5f1fd4f8	component.fa8902bdab910bb205f46118	16384	8	R	generated.farm.e906a4f684b66f9c100d44e1.anchor	population.route.dwarf.w2	114049	-161398	-1480	110440	-173944	-528	0	0	NO_PATH	0	0	data/spawns/Others/PlunderousPlains.xml|data/stats/players/templates/StartingClass/DwarvenFighter.xml|data/spawns/DwarvenTerritory/DwarvenStarting.xml
bridge.0784c7d7c4bc62cc36303c87	component.a2230627cce424b0593fedc6	32768	12	R	generated.farm.08a347f7f13696479813918f.anchor	population.farming.dark-elf.20529	15644	-8311	-3248	25308	13254	-3648	0	0	NO_PATH	0	0	data/spawns/Rune/PrimevalIsle.xml|data/spawns/DarkElfTerritory/DarkElfStarting.xml
bridge.07b644fbec254c15a9cd18ba	component.b8a1ba9dfc02a229569e9998	32768	4	R	generated.farm.c246ebe1e9f6c73e829b2d38.anchor	population.ingress.dark-elf.02	22054	-11514	-2720	28302	11008	-4232	0	0	NO_PATH	0	0	data/spawns/Rune/PrimevalIsle.xml|data/stats/players/templates/StartingClass/DarkFighter.xml|data/stats/players/templates/StartingClass/DarkMystic.xml
bridge.07c6f826a1f9ad2bfac6bf13	component.6b63e9a22c52715dd6894332	8192	9	F	generated.farm.428b85922009e44829ae2db0.anchor	generated.farm.68243117d5885fe09a0b57bc.anchor	46131	41458	-3504	43767	37445	-3512	0	0	NO_PATH	0	0	data/spawns/Others/Gremlins.xml|data/spawns/ElvenTerritory/ElvenStarting.xml
bridge.07f2e23f46bc41e15e988535	component.cdd71132d5f4e86baaa4d99d	8192	6	F	population.ingress.human-mystic.02	generated.farm.739ff353ab353f0a5a095101.anchor	-90954	248118	-3568	-95394	246014	-3616	0	0	NO_PATH	0	0	data/stats/players/templates/StartingClass/HumanMystic.xml|data/spawns/TalkingIsland/TalkingIslandMonsters.xml
bridge.081903335f08b1a89fc99218	component.7e882b0664c31928ac9f5caa	32768	16	F	population.ingress.dwarf.06	generated.farm.12923521d58d7301f63fd56a.anchor	108576	-174122	-408	117133	-149832	-2352	0	0	NO_PATH	0	0	data/stats/players/templates/StartingClass/DwarvenFighter.xml|data/spawns/Others/PlunderousPlains.xml
bridge.0838c1058074a4027e46e400	component.d4f263a6130862446fcab68a	16384	13	F	population.route.dwarf.a3	generated.farm.f9312932904adae788963399.anchor	112996	-173691	-608	108605	-160621	-1688	0	0	NO_PATH	0	0	data/stats/players/templates/StartingClass/DwarvenFighter.xml|data/spawns/DwarvenTerritory/DwarvenStarting.xml|data/spawns/Others/PlunderousPlains.xml
bridge.085f6f0f3b733ff2ba3b6d2b	component.093885e4dafbe6ffb61aca3e	16384	6	F	population.ingress.elf.01	generated.farm.21c8e0a71fc1a30fb94fd849.anchor	46045	41251	-3504	57402	30692	-3768	0	0	NO_PATH	0	0	data/stats/players/templates/StartingClass/ElvenFighter.xml|data/stats/players/templates/StartingClass/ElvenMystic.xml|data/spawns/Oren/SeaOfSpores.xml
bridge.08800c94111d8200ccea0530	component.63defb22486d49c052a69667	32768	7	F	population.ingress.elf.03	generated.farm.946a41fbbc63614320c02954.anchor	46182	41198	-3504	53398	63278	-3480	0	0	NO_PATH	0	0	data/stats/players/templates/StartingClass/ElvenFighter.xml|data/stats/players/templates/StartingClass/ElvenMystic.xml|data/spawns/ElvenTerritory/ElvenStarting.xml
bridge.08da6c878fd185e4ae8aae50	component.8958c8d9edf88034579b430b	32768	3	R	generated.farm.74d4cc08c4a95e70092d77ee.anchor	population.ingress.dark-elf.02	24538	-17756	-2752	28302	11008	-4232	0	0	NO_PATH	0	0	data/spawns/Rune/PrimevalIsle.xml|data/stats/players/templates/StartingClass/DarkFighter.xml|data/stats/players/templates/StartingClass/DarkMystic.xml
bridge.0928f26c120d88c7f42ebad4	component.a15eac19b29dbd838fc4cf11	32768	5	R	generated.farm.a4122c4a8bed91d0e6a70bc3.anchor	population.ingress.dwarf.03	107302	-145184	-3656	108505	-173964	-408	0	0	NO_PATH	0	0	data/spawns/Others/PlunderousPlains.xml|data/stats/players/templates/StartingClass/DwarvenFighter.xml
bridge.094aa370693b5537056cc293	component.2c7e3c336954be75db3a7f7d	32768	7	R	generated.farm.9eb7152622bad01eeb33f1c4.anchor	population.ingress.dark-elf.01	25906	-16833	-2744	28295	11063	-4232	0	0	NO_PATH	0	0	data/spawns/Rune/PrimevalIsle.xml|data/stats/players/templates/StartingClass/DarkFighter.xml|data/stats/players/templates/StartingClass/DarkMystic.xml
bridge.095476cb302451958a3ad8e9	component.89c4c607fc4fee76637095fd	16384	3	F	generated.farm.d6f82637bd6fae44cd109781.anchor	generated.farm.57a38f13450e54452b749339.anchor	48366	42521	-3472	52710	55450	-3320	0	0	VALID_DIRECT	13641	1	data/spawns/ElvenTerritory/ElvenStarting.xml|data/spawns/ElvenTerritory/ElvenStarting.xml
bridge.0962d18ea2a159d747d05dbc	component.0d29dfe1c9a010ee2b1a7342	16384	2	R	generated.farm.9d23ec2f77c7c345967951bb.anchor	generated.farm.ed8992f2edcbacf7c4f24608.anchor	119412	-188362	-3240	117968	-173208	-432	0	0	NO_PATH	0	0	data/spawns/DwarvenTerritory/DwarvenStarting.xml|data/spawns/DwarvenTerritory/DwarvenStarting.xml
bridge.099703149806ba77806cce2c	component.d4239fbe60250487003bb4fd	32768	9	F	population.ingress.elf.03	generated.farm.c4067c834f12b99e976909a2.anchor	46182	41198	-3504	26607	63533	-3552	0	0	VALID_DIRECT	29700	1	data/stats/players/templates/StartingClass/ElvenFighter.xml|data/stats/players/templates/StartingClass/ElvenMystic.xml|data/spawns/ElvenTerritory/ElvenStarting.xml
bridge.09c81bd29b24d13a4bfe1139	component.89c4c607fc4fee76637095fd	16384	8	R	generated.farm.519759dffe4a0803b970d3ee.anchor	population.ingress.elf.06	48712	55466	-3464	45978	41196	-3504	0	0	NO_PATH	0	0	data/spawns/ElvenTerritory/ElvenStarting.xml|data/stats/players/templates/StartingClass/ElvenFighter.xml|data/stats/players/templates/StartingClass/ElvenMystic.xml
bridge.09d00ceb96579c159fb1a1c2	component.73d0c59f5bdd9014627ebe4f	32768	6	R	elven.farming.oren04-2019-07s	generated.farm.428b85922009e44829ae2db0.anchor	19248	43340	-3712	46131	41458	-3504	0	0	NO_PATH	0	0	data/spawns/ElvenTerritory/ElvenStarting.xml|data/spawns/Others/Gremlins.xml
bridge.0a2bd2df31d1ea194fc087a9	component.18c9e4ee0311769668b2eb74	8192	2	R	generated.farm.74718a641fa7e78154fea892.anchor	population.ingress.kamael.04	-125620	37399	1176	-125464	37776	1176	0	0	VALID_DIRECT	409	1	data/spawns/Others/Gremlins.xml|data/stats/players/templates/StartingClass/KamaelMaleSoldier.xml|data/stats/players/templates/StartingClass/KamaelFemaleSoldier.xml
bridge.0a3a3bfeabe2061e2fd00685	component.fa8902bdab910bb205f46118	16384	13	F	population.ingress.dwarf.01	generated.farm.e906a4f684b66f9c100d44e1.anchor	108644	-173947	-408	114049	-161398	-1480	0	0	NO_PATH	0	0	data/stats/players/templates/StartingClass/DwarvenFighter.xml|data/spawns/Others/PlunderousPlains.xml
bridge.0a41b1a11c93e4e2aaff4539	component.635e8cdeb1b598aac805b64c	32768	1	F	population.ingress.human-mystic.04	talking-island.farming.gludio31-1624-11s	-90890	248027	-3568	-103448	227187	-3672	0	0	NO_PATH	0	0	data/stats/players/templates/StartingClass/HumanMystic.xml|data/spawns/TalkingIsland/TalkingIslandMonsters.xml
bridge.0a6ae5be8a2c168d7da02354	component.de636b0f82c1f5ec50237e13	32768	15	R	generated.farm.a39f58864657ce5b49b26ee3.anchor	population.route.dwarf.a3	116564	-195406	-3480	112996	-173691	-608	0	0	NO_PATH	0	0	data/spawns/DwarvenTerritory/DwarvenStarting.xml|data/stats/players/templates/StartingClass/DwarvenFighter.xml|data/spawns/DwarvenTerritory/DwarvenStarting.xml
bridge.0aaa095e071017820ca55fff	component.2a49f4f35c9ebde77d8043ac	16384	1	R	generated.farm.5b2f7b39b431b1d31c0f938a.anchor	generated.farm.aa29c1792ab359df7ec6bdd3.anchor	146706	-212410	-3592	144241	-204346	-3128	0	0	NO_PATH	0	0	data/spawns/DwarvenTerritory/DwarvenStarting.xml|data/spawns/DwarvenTerritory/DwarvenStarting.xml
bridge.0af280977702a7f745437134	component.43988bed6a656186e489a9b7	32768	12	F	population.ingress.elf.02	generated.farm.4d58dd1be9d4b93272b379ec.anchor	46117	41247	-3504	49877	22679	-5512	0	0	NO_PATH	0	0	data/stats/players/templates/StartingClass/ElvenFighter.xml|data/stats/players/templates/StartingClass/ElvenMystic.xml|data/spawns/Oren/SeaOfSpores.xml
bridge.0b0a4371baf3e683124dbb79	component.e837182a129d9a9bac7e6672	8192	4	R	generated.farm.1bc0806803391550b59b5dd7.anchor	generated.farm.77743197e238ebb0e1e3eac2.anchor	173413	-187077	-488	175207	-189475	-2304	0	0	PATH_SEGMENT_BLOCKED	0	0	data/spawns/DwarvenTerritory/DwarvenStarting.xml|data/spawns/DwarvenTerritory/DwarvenStarting.xml
bridge.0b35584c97d14228a674416a	component.6cb9bd2a57139e6f69dd23f1	32768	11	R	generated.farm.b4beace3b35fcf43f7ac6d15.anchor	population.route.orc.a4	-46718	-86971	-8320	-50077	-115763	-160	0	0	NO_PATH	0	0	data/spawns/Others/KrateisCube.xml|data/stats/players/templates/StartingClass/OrcFighter.xml|data/stats/players/templates/StartingClass/OrcMystic.xml|data/spawns/OrcTerritory/OrcStarting.xml
