transition_id	from_gk_fact_key	to_destination_fact_key	teleporter_npc_id	teleport_type	destination_name	fee_id	fee_count	condition_summary	source_path	transition_status	reason
transition.04fb3a2747043e6f6d1d76a0	spawn.63121d2ce78453f15ff12866	dest.0d0316ad3328c2a0c97eaa42	35451	OTHER	South Gate Entrance	57	0	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/clanhall/Giran/35451.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.050ce0a82d0f3db0c96cf78c	spawn.844ddb7500852ef9c1ed2526	dest.3606ec1c2f8bf4c25393c1db	31275	NOBLES_ADENA	Imperial Tomb	57	1000	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee,noblesse	data/teleporters/town/31275.xml	FACTUAL_CONDITIONAL	NATIVE_FACT
transition.050e1dc2ebe1d9bc0b01fe32			35827	OTHER	Ancient Battleground	57	500	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/fortress/Aden/Narsell.xml	BLOCKED_SOURCE	BLOCKED_SOURCE
transition.050ecdc689db0ae2d7f28b70			50009	OTHER	Talking Island, Northern Territory	57	1000	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/others/50009.xml	BLOCKED_SOURCE	BLOCKED_SOURCE
transition.051fc7d8090b8d84f8a6d2b6			35896	OTHER	Field of Silence Center	57	500	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/fortress/Innadril/WhiteSands.xml	BLOCKED_SOURCE	BLOCKED_SOURCE
transition.0550bc3990c81678f268e07b	spawn.66d701d61e98e4fc21b755d9	dest.2699de8fe4966ac66c9f2573	35503	OTHER		57	0	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/doorman/35503.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.0554e87be6d64691cd24096c	spawn.ac310663c394c7d6add8412b	dest.bf858e6767aedc4b3744d67b	35467	OTHER	East Gate Entrance	57	0	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/clanhall/Goddard/35467.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.0560fbeab6707536cc84601e	spawn.f75b7c1fae3c3fd5a326d3d1	dest.928ba760a017cd78b8457098	35384	OTHER	Village Square	57	0	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/clanhall/Gludio/35384.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.0572b2c931b37a5609bb221d	spawn.a770efb7978d4b0750493c37		32163	OTHER		57	0	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee;TeleporterData:duplicate-list-source-order	data/teleporters/others/32163.xml	BLOCKED_SOURCE	BLOCKED_SOURCE
transition.0574724b97ddbb8411ff874b	spawn.fd9f47ca0ec8168b909eabac	dest.9c1dbc6ba6f12bb84acd612f	31383	OTHER	Town of Rune	57	6400	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/others/Varka.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.0578c185a88d821a2f37aee9	spawn.32a71cec01cdd84fa8a137c1	dest.25e28532f79c5963d8bce2a5	35421	OTHER	Enchanted Valley, Southern Region	57	500	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/clanhall/Aden/35421.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.057c1be545a92a2df291c291			32648	OTHER		57	100000	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/others/32648.xml	BLOCKED_SOURCE	BLOCKED_SOURCE
transition.05b4bdba04dae09b76440b00			35965	OTHER	Fortress North Gate	57	0	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/fortress/Rune/Swamp.xml	BLOCKED_SOURCE	BLOCKED_SOURCE
transition.05ec78ef88b63be00c19438c	spawn.5374d10b1c24ca1d9b7abce3	dest.ecdc9926beeb968f515f527d	30848	NORMAL	The Town of Dion	57	52000	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee,normal-source-siege,karma,combat-flag,MAX_FREE_TELEPORT_LEVEL,subclass;TeleportHolder.calculateFee:discount	data/teleporters/town/30848.xml	FACTUAL_NORMAL	NATIVE_FACT
transition.063bd29ff8548a291961859b	spawn.c0b873d134bb3c21062e4c73	dest.59f43042dc8b40da160030ba	35407	OTHER	Fortress of Resistance	57	500	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/clanhall/Dion/35407.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.066a807b7ddfb7832c107878	spawn.c820b1421abc88c924e18183	dest.6bec7a4c0bb3d37a76b51684	35453	OTHER	Breka's Stronghold	57	500	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/clanhall/Giran/35453.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.067ae763fa4a6163b08bc5cc	spawn.993894ff89851a8c71e83555	dest.cb7747d72d17ad954f71a44b	35390	OTHER	North Gate Entrance	57	0	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/clanhall/Gludio/35390.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.0688c65f8f448a4058d9c8e7	spawn.26c851bd7b56e4e54a1080ab	dest.6de6bd66d4f51af4277bc95b	35445	OTHER	West Gate Entrance	57	0	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/clanhall/Aden/35445.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.06a85a40c96108580aebd360	spawn.92bdd06af4e715c456aed310	dest.1d2c5508296d53dac47a0d8b	35549	OTHER		57	0	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/doorman/35549.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.072f3cceeacd8ef72ff71fdd	spawn.ad45a00de04ad2ec8c01c379	dest.a65521ddfc77892fbcf51169	35138	OTHER		57	0	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/doorman/35138.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.0734fbdc1cdf1d716785e244	spawn.83721c9bc3233206a7157ff8	dest.c5b83c9fbef62a1041c22fe6	35449	OTHER	Seal of Shilen	57	500	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/clanhall/Aden/35449.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.07491f710b95d2ba9261665e	spawn.83721c9bc3233206a7157ff8	dest.6de6bd66d4f51af4277bc95b	35449	OTHER	West Gate Entrance	57	0	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/clanhall/Aden/35449.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.0792df8dd71f24b6a87c40f1			36034	OTHER	Windawood Manor	57	500	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/fortress/Gludio/Floran.xml	BLOCKED_SOURCE	BLOCKED_SOURCE
transition.07e8090e22998b133976a56d			36286	OTHER	The Center of Alligator Island	57	500	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/fortress/Innadril/Aaru.xml	BLOCKED_SOURCE	BLOCKED_SOURCE
transition.08214be9f9de645007b15030			36172	OTHER	Fortress East Gate	57	0	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/fortress/Oren/Antharas.xml	BLOCKED_SOURCE	BLOCKED_SOURCE
transition.0823b230a69b02e8c59333ed	spawn.c820b1421abc88c924e18183	dest.0a3082f7cc8ee57406948adb	35453	OTHER	Village Square	57	0	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/clanhall/Giran/35453.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.082fa2135a31ff9696aef304	spawn.86b0d293ddbb17f33befc233	dest.c5d301d1d1f003289b7f1a7d	35459	OTHER	Devil's Isle	57	500	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/clanhall/Giran/35459.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.086e874ba633174db3aa5c53	spawn.7a3a4a1036f395421717f1a5	dest.6a1ddd6bd7f4610f50be2cf8	35605	OTHER	West Gate Entrance	57	0	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/clanhall/Goddard/35605.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.092411c2f3116b55e1316c6a	spawn.7a3a4a1036f395421717f1a5	dest.4bf9406ebda63490a2e4f866	35605	OTHER	Village Square	57	0	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/clanhall/Goddard/35605.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.09541ebe9496ea613372e605	spawn.c0b873d134bb3c21062e4c73	dest.e9fdd10203413bfffccdfe66	35407	OTHER	West Gate Entrance	57	0	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/clanhall/Dion/35407.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.0958f07b859b4332c322a67e	spawn.ee82a6e3aa92a4ff7f32794c	dest.8f205ce2bad012e8cfc5dc41	30006	NOBLES_TOKEN	Center of the Elven Ruins	13722	1	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee,noblesse	data/teleporters/town/30006.xml	FACTUAL_CONDITIONAL	NATIVE_FACT
transition.0997800b57b5f98efb8a80c7			36141	OTHER	Ant Nest	57	500	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/fortress/Dion/Dragonspine.xml	BLOCKED_SOURCE	BLOCKED_SOURCE
transition.099af63e0497aa2ee81c64b6	spawn.ee82a6e3aa92a4ff7f32794c	dest.26f1beecea53a6f4c72c0f1c	30006	NORMAL	Singing Waterfall	57	770	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee,normal-source-siege,karma,combat-flag,MAX_FREE_TELEPORT_LEVEL,subclass;TeleportHolder.calculateFee:discount	data/teleporters/town/30006.xml	FACTUAL_NORMAL	NATIVE_FACT
transition.09abfccae606a4a4e9552ee4	spawn.5412dd42579f6907270a5492	dest.e06ff2b687a47fbf723865b7	30878	NORMAL	The Town of Giran	57	6300	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee,normal-source-siege,karma,combat-flag,MAX_FREE_TELEPORT_LEVEL,subclass;TeleportHolder.calculateFee:discount	data/teleporters/town/30878.xml	FACTUAL_NORMAL	NATIVE_FACT
transition.09b432ccc23997bd3ac03b3f	spawn.eb2a0cf2960a2810f8a6efa9	dest.418757527d0df11551ff2722	30080	NORMAL	Hardins Private Academy	57	4400	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee,normal-source-siege,karma,combat-flag,MAX_FREE_TELEPORT_LEVEL,subclass;TeleportHolder.calculateFee:discount	data/teleporters/town/30080.xml	FACTUAL_NORMAL	NATIVE_FACT
transition.09c66a756cf84b1ec4b0f0e9			35927	OTHER	Goddard Town Square	57	0	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/fortress/Goddard/Borderland.xml	BLOCKED_SOURCE	BLOCKED_SOURCE
transition.09caa13058574b0889dca03a	spawn.a770efb7978d4b0750493c37		32163	OTHER	Stronghold III	57	0	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee;TeleporterData:duplicate-list-source-order	data/teleporters/town/32163.xml	BLOCKED_SOURCE	BLOCKED_SOURCE
transition.09dea720f99a24e913480d50	spawn.94983ae1f1c3f9665c08d90a	dest.4284b435762f397cce85fcfb	35461	OTHER	Hot Springs	57	500	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/clanhall/Goddard/35461.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.0a1b40449ee41e5b57082116	spawn.af960fc11717474fbd9a8de1	dest.6d72d10a924c34b7f3c8eb1f	35394	OTHER	North Gate Entrance	57	0	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/clanhall/Gludin/35394.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.0a2de76b35b8328dfe0958e2	spawn.8ce27205fe8c38ddf75a6732	dest.c5d301d1d1f003289b7f1a7d	35184	OTHER	Devil's Isle	57	500	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/chamberlain/35184.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.0a74530a30eed37104d9e257			36141	OTHER	Fortress South Gate	57	0	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/fortress/Dion/Dragonspine.xml	BLOCKED_SOURCE	BLOCKED_SOURCE
transition.0ad66bb8c519f355ddbcfdaa			50009	OTHER	Abandoned Coal Mines	57	690	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/others/50009.xml	BLOCKED_SOURCE	BLOCKED_SOURCE
transition.0b34d32b1ec22eab75f22001	spawn.32a71cec01cdd84fa8a137c1	dest.69d8a86f33700613a6837ba5	35421	OTHER	South Gate Entrance	57	0	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/clanhall/Aden/35421.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.0b48bf7800dbccc18f26522a	spawn.c820b1421abc88c924e18183	dest.c109f018f56e30d5971c5075	35453	OTHER	North Gate Entrance	57	0	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/clanhall/Giran/35453.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.0b68e8519fa2b1efad9e561b	spawn.5374d10b1c24ca1d9b7abce3	dest.2922b91d3ca04e1143da7fa0	30848	NORMAL	Fields of Massacre	57	6500	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee,normal-source-siege,karma,combat-flag,MAX_FREE_TELEPORT_LEVEL,subclass;TeleportHolder.calculateFee:discount	data/teleporters/town/30848.xml	FACTUAL_NORMAL	NATIVE_FACT
transition.0bc0ea23a7dc59e0b35be8c2	spawn.32a71cec01cdd84fa8a137c1	dest.2125cf8554de79ab3d5b500f	35421	OTHER	Anghel Waterfall	57	500	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/clanhall/Aden/35421.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.0bcc455f3cbce67cc7424351	spawn.f0661c33c791776d4947d764	dest.f9f1121082c37fde97b25c86	35405	OTHER	Tanor Canyon	57	500	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/clanhall/Dion/35405.xml	UNSUPPORTED_SEMANTICS	SPECIAL_OR_UNMODELED
transition.0be1b9625c15fb62d6c89f3d			36034	OTHER	Tanor Canyon	57	500	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee	data/teleporters/fortress/Gludio/Floran.xml	BLOCKED_SOURCE	BLOCKED_SOURCE
transition.0bed2116c12b28e149658424	spawn.a770efb7978d4b0750493c37		32163	OTHER		57	0	TeleportHolder.doTeleport:alive,castle-siege;TeleportHolder.shouldPayFee:fee;TeleporterData:duplicate-list-source-order	data/teleporters/others/32163.xml	BLOCKED_SOURCE	BLOCKED_SOURCE
