source_family	coverage_key	entrance_status	entrance_kind	outside_anchor	inside_anchor	door_ids	door_default_statuses	floor_key	transition_source	geodata_status	planner_status	blocker	instance_id	room_territory	zone_refs	evidence_refs
CatacombOfTheBranded	0745e827a771da9f6703d96bbd4de8f472ff4dc2330eec59eb48571d0fa5ab59	UNPROVEN						z:-5011:-4861		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-5011:-4861:46264,177731|46891,177730|46890,179080|46264,179074	ssq05_2123_ssq16	data/spawns/Catacombs/CatacombOfTheBranded.xml|TOPOLOGY_CANDIDATES.tsv:0745e827a771da9f6703d96bbd4de8f472ff4dc2330eec59eb48571d0fa5ab59
DevilsIsle	08c523a999bdf66ad7dea0a09490222fa3a336b438912802ca0b0a618d9a514a	UNPROVEN						z:-4500:-4200		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-4500:-4200:41608,200821|42037,200951|41787,201325|41315,201575|41288,201137	giran08_2124_006	data/spawns/Giran/DevilsIsle.xml|TOPOLOGY_CANDIDATES.tsv:08c523a999bdf66ad7dea0a09490222fa3a336b438912802ca0b0a618d9a514a
ImperialTomb	09edc98c74eb257722cb0c34e5609edf579db2b95d3dd3d07be8d3d0de716aee	UNPROVEN						z:-7313:-7013		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-7313:-7013:189041,-78487|189856,-78476|189845,-77747|189045,-77684	godard14_2515_14	data/spawns/Goddard/ImperialTomb.xml|TOPOLOGY_CANDIDATES.tsv:09edc98c74eb257722cb0c34e5609edf579db2b95d3dd3d07be8d3d0de716aee
CatacombOfTheForbiddenPath	0a2b26ef7a2e17ed34fa3acf32eb840cf4fc147085eabaacf42faf1674a21933	UNPROVEN						z:-9612:-9412		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-9612:-9412:17285,-248804|17881,-248788|17881,-248156|17289,-248144	ssq12_2320_ssq08	data/spawns/Catacombs/CatacombOfTheForbiddenPath.xml|TOPOLOGY_CANDIDATES.tsv:0a2b26ef7a2e17ed34fa3acf32eb840cf4fc147085eabaacf42faf1674a21933
NecropolisOfDevotion	0aa79d67e281338055910dfd67c12790147f5bb13de51275e3f05f3be76ef684	UNPROVEN						z:-4777:-4627		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-4777:-4627:-46529,83385|-45926,83383|-45933,84029|-46529,84028	ssq02_1820_ssq11	data/spawns/Catacombs/NecropolisOfDevotion.xml|TOPOLOGY_CANDIDATES.tsv:0aa79d67e281338055910dfd67c12790147f5bb13de51275e3f05f3be76ef684
ImperialTomb	0ac141f2d795f5695b18d40a6f99375d3215e37b2944778c1f91823987e055bf	UNPROVEN						z:-2784:-2484		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-2784:-2484:183025,-78004|182081,-77103|180769,-77070|179850,-78031|179838,-79343|180759,-80288|182097,-80297|183015,-79354	godard14_2515_03	data/spawns/Goddard/ImperialTomb.xml|TOPOLOGY_CANDIDATES.tsv:0ac141f2d795f5695b18d40a6f99375d3215e37b2944778c1f91823987e055bf
DevilsIsle	0b1f91e21cb2b235abb8b3eb20a445ea87670d29a906df5f912a90841ead973a	UNPROVEN						z:-3472:-3272		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-3472:-3272:48863,213936|49300,213936|49300,214250|48863,214250	giran08_2124_063	data/spawns/Giran/DevilsIsle.xml|TOPOLOGY_CANDIDATES.tsv:0b1f91e21cb2b235abb8b3eb20a445ea87670d29a906df5f912a90841ead973a
NecropolisOfDevotion	0b678446de013db1e8a875b00818ed3c9e7490f4e5f257843ee44b39d3fb6752	UNPROVEN						z:-4772:-4622		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-4772:-4622:-52247,80884|-51592,80879|-51577,82248|-52257,82243	ssq02_1820_ssq02	data/spawns/Catacombs/NecropolisOfDevotion.xml|TOPOLOGY_CANDIDATES.tsv:0b678446de013db1e8a875b00818ed3c9e7490f4e5f257843ee44b39d3fb6752
CatacombOfTheBranded	0c235544b98668cf693c8816b6d489ab06224314d74cf68832925b73e5ada40b	UNPROVEN						z:-5022:-4872		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-5022:-4872:55408,179181|56044,179181|56045,179786|55410,179788	ssq05_2123_ssq25	data/spawns/Catacombs/CatacombOfTheBranded.xml|TOPOLOGY_CANDIDATES.tsv:0c235544b98668cf693c8816b6d489ab06224314d74cf68832925b73e5ada40b
TowerOfInsolence	0c3a2b86325aa834f8d5d0d8b6d64194c2025dafebc7b1b37bbb0865d22bdc93	UNPROVEN						z:5956:6156		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:5956:6156:111873,16667|112618,16573|112880,17186|112268,17580	aden28_2318_13	data/spawns/Aden/TowerOfInsolence.xml|TOPOLOGY_CANDIDATES.tsv:0c3a2b86325aa834f8d5d0d8b6d64194c2025dafebc7b1b37bbb0865d22bdc93
DevilsIsle	0c3d5b9b9615274b1783c86a245940b33ae4526460ff24a5007ef5f5d377dc9c	UNPROVEN						z:-3940:-3740		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-3940:-3740:43199,215819|44508,215819|44508,217017|43199,217017	giran08_2124_044	data/spawns/Giran/DevilsIsle.xml|TOPOLOGY_CANDIDATES.tsv:0c3d5b9b9615274b1783c86a245940b33ae4526460ff24a5007ef5f5d377dc9c
NecropolisOfTheSaints	0cb00eb3bfa59f181754186d27b1522be7877a1707d3d2b39f33ddc572a570b5	UNPROVEN						z:-5472:-5272		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-5472:-5272:88836,213488|89436,213508|89436,214168|88836,214144	ssq08_2224_ssq16	data/spawns/Catacombs/NecropolisOfTheSaints.xml|TOPOLOGY_CANDIDATES.tsv:0cb00eb3bfa59f181754186d27b1522be7877a1707d3d2b39f33ddc572a570b5
DevilsIsle	0cfb8358fd4e4c4b3fd43e1fc9f3b630ebcbd1f5bc7720a0eb912fe29255aedb	UNPROVEN						z:-3776:-3626		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-3776:-3626:43439,213259|43589,213249|43750,213760|43680,214092	giran08_2124_034	data/spawns/Giran/DevilsIsle.xml|TOPOLOGY_CANDIDATES.tsv:0cfb8358fd4e4c4b3fd43e1fc9f3b630ebcbd1f5bc7720a0eb912fe29255aedb
IvoryTower	0d2d0e4216e562a988c534784988eb194c8a0ebd5a2e5379e050dbce5d7f7a72	UNPROVEN						z:-3796:-3396		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-3796:-3396:78116,20592|79828,22864|78720,26556|75208,27024|74408,24180|75148,20488	oren30_2218_14	data/spawns/Oren/IvoryTower.xml|TOPOLOGY_CANDIDATES.tsv:0d2d0e4216e562a988c534784988eb194c8a0ebd5a2e5379e050dbce5d7f7a72
DevilsIsle	0d58be8322d126fd103d17999b53459ccfecb10ad6d1d475dad5c46a7fb01d5b	UNPROVEN						z:-3556:-3356		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-3556:-3356:48337,205663|48773,205879|48792,207687|48631,207962|48025,207901|47535,207469|47594,206175	giran08_2124_015	data/spawns/Giran/DevilsIsle.xml|TOPOLOGY_CANDIDATES.tsv:0d58be8322d126fd103d17999b53459ccfecb10ad6d1d475dad5c46a7fb01d5b
NecropolisOfThePilgrims	0dc9ac37cece3e233c64a886c72668e5b79a35f246b6ab33a8146bc4d63d9f7b	UNPROVEN						z:-5447:-5297		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-5447:-5297:46929,118916|48298,118922|48290,119576|46926,119575	ssq07_2121_ssq04	data/spawns/Catacombs/NecropolisOfThePilgrims.xml|TOPOLOGY_CANDIDATES.tsv:0dc9ac37cece3e233c64a886c72668e5b79a35f246b6ab33a8146bc4d63d9f7b
NecropolisOfTheSaints	0e3706c8baf57698997968f76fa1b970dca67950d026502eb692144644027b8e	UNPROVEN						z:-5476:-5276		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-5476:-5276:89979,218036|90579,218036|90575,218680|89987,218676	ssq08_2224_ssq24	data/spawns/Catacombs/NecropolisOfTheSaints.xml|TOPOLOGY_CANDIDATES.tsv:0e3706c8baf57698997968f76fa1b970dca67950d026502eb692144644027b8e
IvoryTower	0edead08b5b94aecca08262b44401057eb66c359f5ce6cb006cd26033bb005ed	UNPROVEN						z:-5356:-5156		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-5356:-5156:79664,16248|85768,19076|81972,22128|79012,18196	oren29_2218_26	data/spawns/Oren/IvoryTower.xml|TOPOLOGY_CANDIDATES.tsv:0edead08b5b94aecca08262b44401057eb66c359f5ce6cb006cd26033bb005ed
CatacombOfTheBranded	0eff5fa4ba80b251c37eef6bcaeb9eed0d1daf7bacfbd10fd6af420293c30b65	UNPROVEN						z:-5014:-4864		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-5014:-4864:51975,170953|53322,170952|53324,171573|51980,171574	ssq05_2123_ssq36	data/spawns/Catacombs/CatacombOfTheBranded.xml|TOPOLOGY_CANDIDATES.tsv:0eff5fa4ba80b251c37eef6bcaeb9eed0d1daf7bacfbd10fd6af420293c30b65
IvoryTower	0f728c2ad864ec9ae5a9273c97ab9b0870cd3d59a6707483c26cc43b71053d3f	UNPROVEN						z:-5436:-5236		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-5436:-5236:91192,14192|91420,16760|90212,18308|88008,17488|87660,14836|89680,13016	oren29_2218_29	data/spawns/Oren/IvoryTower.xml|TOPOLOGY_CANDIDATES.tsv:0f728c2ad864ec9ae5a9273c97ab9b0870cd3d59a6707483c26cc43b71053d3f
DevilsIsle	0f93cd0ce1e5c8bef14dcca968a6fcb9da976e0cd429964e95d45229043c2271	UNPROVEN						z:-3384:-3184		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-3384:-3184:48786,211389|49376,211385|49376,212506|48786,212510	giran08_2124_067	data/spawns/Giran/DevilsIsle.xml|TOPOLOGY_CANDIDATES.tsv:0f93cd0ce1e5c8bef14dcca968a6fcb9da976e0cd429964e95d45229043c2271
TowerOfInsolence	0fba33fad2c6c8580471455819693e85a290491cd541140da3794fc7f3a1bfd5	UNPROVEN						z:4934:5284		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:4934:5284:114693,14991|115276,15069|114672,15698|114093,15107	aden41_2318_07	data/spawns/Aden/TowerOfInsolence.xml|TOPOLOGY_CANDIDATES.tsv:0fba33fad2c6c8580471455819693e85a290491cd541140da3794fc7f3a1bfd5
NecropolisOfSacrifice	104273f8252c8098e201bd1c13ba2639d43727fa1a1c6df0d575bd0a1e03aa21	UNPROVEN						z:-5127:-4977		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-5127:-4977:-50194,215802|-48820,215835|-48822,216474|-50194,216467	ssq01_1824_ssq26	data/spawns/Catacombs/NecropolisOfSacrifice.xml|TOPOLOGY_CANDIDATES.tsv:104273f8252c8098e201bd1c13ba2639d43727fa1a1c6df0d575bd0a1e03aa21
DevilsIsle	1168bd89e8693814315a56d2399c3ba11702ca0c4d429d6075f88425ec137089	UNPROVEN						z:-3796:-3596		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-3796:-3596:46292,215386|46518,215271|46993,215509|47358,216190|47188,216577|46315,216667	giran08_2124_054	data/spawns/Giran/DevilsIsle.xml|TOPOLOGY_CANDIDATES.tsv:1168bd89e8693814315a56d2399c3ba11702ca0c4d429d6075f88425ec137089
NecropolisOfDevotion	118d46324e7ff71ebc39b627b08b1a81b5cf101c5189474c37cd2f23a46370ea	UNPROVEN						z:-4776:-4626		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-4776:-4626:-44038,80890|-42201,80901|-42186,81551|-44037,81532	ssq02_1820_ssq16	data/spawns/Catacombs/NecropolisOfDevotion.xml|TOPOLOGY_CANDIDATES.tsv:118d46324e7ff71ebc39b627b08b1a81b5cf101c5189474c37cd2f23a46370ea
NecropolisOfThePatriots	119f3c4e36792807ad5b593444a3717b1c840ae6396eea5c8d94eb1bada98564	UNPROVEN						z:-5210:-5060		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-5210:-5060:-12680,78495|-10834,78504|-10834,79145|-12685,79134	ssq03_1920_ssq21	data/spawns/Catacombs/NecropolisOfThePatriots.xml|TOPOLOGY_CANDIDATES.tsv:119f3c4e36792807ad5b593444a3717b1c840ae6396eea5c8d94eb1bada98564
ImperialTomb	11e5c21033dc9a3f75ca7ebd9171001ae2f3349bac718a44c3aca9a2ea1829ab	UNPROVEN						z:-3423:-3123		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-3423:-3123:174736,-81498|175468,-81493|175512,-80681|174691,-80692	godard14_2515_09	data/spawns/Goddard/ImperialTomb.xml|TOPOLOGY_CANDIDATES.tsv:11e5c21033dc9a3f75ca7ebd9171001ae2f3349bac718a44c3aca9a2ea1829ab
DevilsIsle	121472eac71d68672f3b5cda59c2e36398dc158af9aad380c481122cbde509f9	UNPROVEN						z:-3812:-3612		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-3812:-3612:42538,204058|42829,203720|43790,204297|43759,204920|43002,205080	giran08_2124_011	data/spawns/Giran/DevilsIsle.xml|TOPOLOGY_CANDIDATES.tsv:121472eac71d68672f3b5cda59c2e36398dc158af9aad380c481122cbde509f9
ImperialTomb	121af166e52d46efe8e1e15df7401e723b15ecf3265639d4539316833f23d69a	UNPROVEN						z:-6005:-5705		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-6005:-5705:189047,-84252|189801,-84247|189857,-83452|189048,-83434	godard14_2515_18	data/spawns/Goddard/ImperialTomb.xml|TOPOLOGY_CANDIDATES.tsv:121af166e52d46efe8e1e15df7401e723b15ecf3265639d4539316833f23d69a
NecropolisOfWorship	1224136f8fc673f1b51bce29d9b8dbae414187e4e2fbfe964d2f5260636561aa	UNPROVEN						z:-5472:-5272		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-5472:-5272:118396,183204|119024,183204|119024,184698|118396,184698	ssq09_2323_ssq26	data/spawns/Catacombs/NecropolisOfWorship.xml|TOPOLOGY_CANDIDATES.tsv:1224136f8fc673f1b51bce29d9b8dbae414187e4e2fbfe964d2f5260636561aa
DevilsIsle	1293ef162e479b96da1b6c37577b14fd8551f340eeec8d90355b7a6403c50626	UNPROVEN						z:-3816:-3616		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-3816:-3616:50944,214948|51568,213856|51528,215760|51084,215756	giran08_2124_096	data/spawns/Giran/DevilsIsle.xml|TOPOLOGY_CANDIDATES.tsv:1293ef162e479b96da1b6c37577b14fd8551f340eeec8d90355b7a6403c50626
NecropolisOfSacrifice	12fd50f59675f62ca8f388a4df60992daa5f969c2e4e235e2531ccb2c7e5be39	UNPROVEN						z:-5121:-4971		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-5121:-4971:-50904,218854|-50256,218854|-50265,220703|-50910,220709	ssq01_1824_ssq20	data/spawns/Catacombs/NecropolisOfSacrifice.xml|TOPOLOGY_CANDIDATES.tsv:12fd50f59675f62ca8f388a4df60992daa5f969c2e4e235e2531ccb2c7e5be39
CatacombOfTheWitch	1355043de8707cff09cf6e5fe78b7823339c2be500b7ca2c0d84ab689a0265b8	UNPROVEN						z:-5464:-5264		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-5464:-5264:142916,87537|143596,87537|143596,89416|142916,89436	ssq13_2420_ssq24	data/spawns/Catacombs/CatacombOfTheWitch.xml|TOPOLOGY_CANDIDATES.tsv:1355043de8707cff09cf6e5fe78b7823339c2be500b7ca2c0d84ab689a0265b8
NecropolisOfTheSaints	1397bfd377efa65e7663748084dbe8c40217429cae76919f1105484a623ab84d	UNPROVEN						z:-5472:-5272		NOT_PROBED_CLOSED	BLOCKED	NATIVE_ENTRANCE_PATH_UNPROVEN	0	territory:-5472:-5272:87748,208892|88348,208908|88344,209560|87756,209552	ssq08_2224_ssq08	data/spawns/Catacombs/NecropolisOfTheSaints.xml|TOPOLOGY_CANDIDATES.tsv:1397bfd377efa65e7663748084dbe8c40217429cae76919f1105484a623ab84d
