route_id	from_kind	from_id	to_kind	to_id	candidate_mode	candidate_reason	map_region_loc_id	straight_line_distance	teleporter_source	existing_core_edge_id	validation_status	source_refs
generated.route.009d5da1298646a8ba6edc34	TELEPORTER_NPC	30134	SOURCE_LOCATION	-12787,122779,-3112	TELEPORT_FACT	NORMAL|The Town of Gludio			data/teleporters/town/30134.xml		FACTUAL_TELEPORT	data/teleporters/town/30134.xml
generated.route.009f4ff06f28711950c26fc3	NODE	generated.farm.8eb6c5420de03ec55ce0c95c	NODE	generated.farm.e71fe8e9e885e05ddbb09ce0	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	1537	2607			NEEDS_GEODATA	data/spawns/Rune/SwampOfScreams.xml|data/spawns/Rune/SwampOfScreams.xml
generated.route.00ba5d025e2aae6181011251	NODE	generated.farm.1e3398adbbb42ef1b312e70b	NODE	generated.farm.5ab36622a62ce01d64b9675c	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	916	721			NEEDS_GEODATA	data/spawns/Dion/ExecutionGrounds.xml|data/spawns/Dion/ExecutionGrounds.xml
generated.route.00bd747df0088282df7d34f9	NODE	generated.farm.0968489fc0eae8d71d978f27	NODE	generated.farm.475fed9a156e3d2b08031c3a	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	2259	2824			NEEDS_GEODATA	data/spawns/Others/KrateisCube.xml|data/spawns/Others/KrateisCube.xml
generated.route.00c107f19562b877d6b8fdff	TELEPORTER_NPC	35363	SOURCE_LOCATION	165054,-47861,-3560	TELEPORT_FACT	OTHER|Wall of Argos			data/teleporters/chamberlain/35363.xml		FACTUAL_TELEPORT	data/teleporters/chamberlain/35363.xml
generated.route.00c9c26f2db3070502ca13dd	TELEPORTER_NPC	35184	SOURCE_LOCATION	107954,145841,-3224	TELEPORT_FACT	OTHER|Front Of Giran Castle			data/teleporters/chamberlain/35184.xml		FACTUAL_TELEPORT	data/teleporters/chamberlain/35184.xml
generated.route.00d07263389250284446c2db	NODE	generated.farm.58ac4a428cd405e03980d206	NODE	generated.farm.74d4cc08c4a95e70092d77ee	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	1924	1145			NEEDS_GEODATA	data/spawns/Rune/PrimevalIsle.xml|data/spawns/Rune/PrimevalIsle.xml
generated.route.00d756bd9807191dd471a29f	TELEPORTER_NPC	35439	SOURCE_LOCATION	166182,91560,-3168	TELEPORT_FACT	OTHER|Anghel Waterfall			data/teleporters/clanhall/Aden/35439.xml		FACTUAL_TELEPORT	data/teleporters/clanhall/Aden/35439.xml
generated.route.00df24796f1e4d0e0f21e883	NODE	generated.farm.118d46324e7ff71ebc39b627	NODE	generated.farm.38ff42ddcc0311b1e4e682f9	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	915	2514			NEEDS_GEODATA	data/spawns/Catacombs/NecropolisOfDevotion.xml|data/spawns/Catacombs/NecropolisOfDevotion.xml
generated.route.00ea0dab9a4e93507dde2692	TELEPORTER_NPC	30233	SOURCE_LOCATION	166080,75574,-2992	TELEPORT_FACT	NOBLES_TOKEN|The Center of the Forest of Mirrors			data/teleporters/town/30233.xml		FACTUAL_TELEPORT	data/teleporters/town/30233.xml
generated.route.00f3fac15d40ba18f6e04226	NODE	generated.farm.0f60864f8aeaf3b9ec22f8c3	NODE	generated.farm.2ca4fa125dfd73cdb98c1f32	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	923	6957			NEEDS_GEODATA	data/spawns/Giran/DragonValley.xml|data/spawns/Giran/HardinsAcademy.xml
generated.route.00f5eb966bbafc3aea5b2bad	NODE	generated.farm.51c51b85a452e63c767b5399	NODE	generated.farm.9ce01b6c387257511e5c6df4	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	1538	2781			NEEDS_GEODATA	data/spawns/Goddard/GardenOfBeasts.xml|data/spawns/Goddard/GardenOfBeasts.xml
generated.route.00fd1157265d3ffb797a2b5a	NODE	generated.farm.aa29c1792ab359df7ec6bdd3	NODE	generated.farm.cb1e2040432dbc6e51e094ec	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	921	5452			NEEDS_GEODATA	data/spawns/DwarvenTerritory/DwarvenStarting.xml|data/spawns/DwarvenTerritory/DwarvenStarting.xml
generated.route.010a41c4dc26bb6bea4f5386	NODE	generated.farm.6b786e1c0dd0685449ed5efc	NODE	generated.farm.f2bab688353fa77725ffe3cd	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	919	991			NEEDS_GEODATA	data/spawns/Giran/DevilsIsle.xml|data/spawns/Giran/DevilsIsle.xml
generated.route.011c4eb7ecbd6e643de4f644	NODE	generated.farm.0e3706c8baf57698997968f7	NODE	generated.farm.78f969afd9b10da798464d80	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	926	1622			NEEDS_GEODATA	data/spawns/Catacombs/NecropolisOfTheSaints.xml|data/spawns/Catacombs/NecropolisOfTheSaints.xml
generated.route.012d633314d47e03491a06a9	NODE	generated.farm.7cf56d6ed4759affcb06f927	NODE	generated.farm.e2338fbcc894e24676324428	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	924	4591			NEEDS_GEODATA	data/spawns/Aden/Cemetery.xml|data/spawns/Aden/Cemetery.xml
generated.route.013b34cd6dcfdb274b75e695	NODE	generated.farm.12fd50f59675f62ca8f388a4	NODE	generated.farm.babce96fc2ad7ff8b83a6b2a	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	911	1120			NEEDS_GEODATA	data/spawns/Catacombs/NecropolisOfSacrifice.xml|data/spawns/Catacombs/NecropolisOfSacrifice.xml
generated.route.013d07d7bbeb5f25885a11bd	NODE	generated.farm.3c52992cdb950669fe043d64	NODE	generated.farm.c35993418a2d542bd25a737c	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	922	1299			NEEDS_GEODATA	data/spawns/Oren/IvoryTower.xml|data/spawns/Oren/IvoryTower.xml
generated.route.0151ade7687ed28a5165c580	NODE	generated.farm.119daa584ec45784f1da93f6	NODE	generated.farm.217066659815bde21ba98e7a	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	915	1768			NEEDS_GEODATA	data/spawns/Catacombs/CatacombOfDarkOmens.xml|data/spawns/DarkElfTerritory/DarkElfStarting.xml
generated.route.015f4e4274a855234ce09a70	TELEPORTER_NPC	50009	SOURCE_LOCATION	-75437,168800,-3632	TELEPORT_FACT	OTHER|Windmill Hill			data/teleporters/others/50009.xml		FACTUAL_TELEPORT	data/teleporters/others/50009.xml
generated.route.0177348e8feab09c36783ac0	NODE	generated.farm.15d7dac0e28f4f00c7a38ba5	NODE	generated.farm.521682defac9482f17aa873e	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	924	1314			NEEDS_GEODATA	data/spawns/Aden/GiantsCave.xml|data/spawns/Aden/GiantsCave.xml
generated.route.019a710fedfba082d4831810	TELEPORTER_NPC	35447	SOURCE_LOCATION	142065,81300,-3000	TELEPORT_FACT	OTHER|Forest of Mirrors			data/teleporters/clanhall/Aden/35447.xml		FACTUAL_TELEPORT	data/teleporters/clanhall/Aden/35447.xml
generated.route.019ffcf1901e543ee4e96d2c	NODE	generated.farm.baa3e5be2ead076bc66e4f3f	NODE	generated.farm.ac48f1e84577a9f3b395a8df	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	911	4911			NEEDS_GEODATA	data/spawns/Gludin/TurekOrcs.xml|data/spawns/Gludin/TurekOrcs.xml
generated.route.01a0484b70561e017a456d21	TELEPORTER_NPC	35449	SOURCE_LOCATION	147450,28081,-2294	TELEPORT_FACT	OTHER|Village Square			data/teleporters/clanhall/Aden/35449.xml		FACTUAL_TELEPORT	data/teleporters/clanhall/Aden/35449.xml
generated.route.01b334c84a84320f9fd06782	NODE	generated.farm.3cb1c1d79e0498e5d1522169	NODE	generated.farm.afe065da6c373ae1d9fb1a2f	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	923	3144			NEEDS_GEODATA	data/spawns/Hunters/EnchantedValley.xml|data/spawns/Hunters/EnchantedValley.xml
generated.route.01c55cab7f7e77e07935c1c5	NODE	generated.farm.1080a475c827ec21cc2df10c	NODE	generated.farm.bcc3f499686ae8013e8460c3	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	1538	3854			NEEDS_GEODATA	data/spawns/Goddard/WallOfArgos.xml|data/spawns/Goddard/WallOfArgos.xml
generated.route.01c8e18720e7cc77411750a5	NODE	generated.farm.3335cfb78d7580a7fd825f1a	NODE	generated.farm.5dc4820c3eac4a6394b06b56	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	912	1413			NEEDS_GEODATA	data/spawns/Gludio/Wasteland.xml|data/spawns/Gludio/Wasteland.xml
generated.route.01dabf20b79dd5811af787e7	TELEPORTER_NPC	30540	SOURCE_LOCATION	46951,51550,-2976	TELEPORT_FACT	NORMAL|Elven Village			data/teleporters/town/30540.xml		FACTUAL_TELEPORT	data/teleporters/town/30540.xml
generated.route.01ec9acd2ef110ba95974d9e	TELEPORTER_NPC	31964	SOURCE_LOCATION	111965,-154172,-1528	TELEPORT_FACT	NORMAL|Plunderous Plains			data/teleporters/town/31964.xml		FACTUAL_TELEPORT	data/teleporters/town/31964.xml
generated.route.01edb528718fb14fa303302d	NODE	generated.farm.d11220e2a70b49bbbf625ad0	NODE	elven.farming.oren04-2019-02s	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	914	1990			NEEDS_GEODATA	data/spawns/ElvenTerritory/ElvenStarting.xml|data/spawns/ElvenTerritory/ElvenStarting.xml
generated.route.01f0748256175f8235ae982c	NODE	generated.farm.a59208e3ed64be53e4f00894	NODE	generated.farm.c38fcf094e47122a3a41e4ec	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	920	5906			NEEDS_GEODATA	data/spawns/OrcTerritory/OrcStarting.xml|data/spawns/OrcTerritory/OrcStarting.xml
generated.route.01f93031b55db9cb1019642e	NODE	generated.farm.03879936eca10c65a7e75fa1	NODE	generated.farm.1086387dffe39f48e6b47a97	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	924	1344			NEEDS_GEODATA	data/spawns/Aden/BlazingSwamp.xml|data/spawns/Aden/BlazingSwamp.xml
generated.route.01fce5d389b43d994a906db1	TELEPORTER_NPC	32378	SOURCE_LOCATION	-70293,-71029,-1416	TELEPORT_FACT	OTHER|			data/teleporters/others/32378.xml		FACTUAL_TELEPORT	data/teleporters/others/32378.xml
generated.route.01fd41ecaf1734318a655ecf	NODE	generated.farm.686fbff5e2bf4b58a7f01700	NODE	generated.farm.b82f7a0510c47f1e27010d9a	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	926	1070			NEEDS_GEODATA	data/spawns/Innadril/GardenOfEva.xml|data/spawns/Innadril/GardenOfEva.xml
generated.route.020c8ebbd2007003b357a343	NODE	generated.farm.16178f627d7e08f000671401	NODE	generated.farm.5d3ba5335b74fc98aec2837f	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	922	4079			NEEDS_GEODATA	data/spawns/Oren/TimakOutpost.xml|data/spawns/Oren/TimakOutpost.xml
generated.route.0227964b5364107e4bfcd4fa	TELEPORTER_NPC	35451	SOURCE_LOCATION	43408,206881,-3752	TELEPORT_FACT	OTHER|Devil's Isle			data/teleporters/clanhall/Giran/35451.xml		FACTUAL_TELEPORT	data/teleporters/clanhall/Giran/35451.xml
generated.route.022f07692742d2f032285e90	NODE	generated.farm.3f352e1e8f43eb41a389e46c	NODE	generated.farm.6cb22ebd2331cb50681658b4	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	910	2770			NEEDS_GEODATA	data/spawns/TalkingIsland/TalkingIslandMonsters.xml|data/spawns/TalkingIsland/TalkingIslandMonsters.xml
generated.route.023ee66013578f4c3aabbb00	NODE	generated.farm.403a97d5d0f4793379684a51	NODE	generated.farm.f472d34d58785e2d78e6b082	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	924	59			NEEDS_GEODATA	data/spawns/Aden/TowerOfInsolence.xml|data/spawns/Aden/TowerOfInsolence.xml
generated.route.024b84546d69df5e3e7bb822	TELEPORTER_NPC	30233	SOURCE_LOCATION	146783,25808,-2008	TELEPORT_FACT	NORMAL|Town of Aden			data/teleporters/town/30233.xml		FACTUAL_TELEPORT	data/teleporters/town/30233.xml
generated.route.024bb5bc6c6efa2e4e0d9c12	TELEPORTER_NPC	30146	SOURCE_LOCATION	-18415,85624,-3680	TELEPORT_FACT	NOBLES_TOKEN|The Center of the Neutral Zone			data/teleporters/town/30146.xml		FACTUAL_TELEPORT	data/teleporters/town/30146.xml
generated.route.026049e88496886c02d768a7	TELEPORTER_NPC	35509	SOURCE_LOCATION	71814,-57054,-3088	TELEPORT_FACT	OTHER|Front of the Swamp Fortress			data/teleporters/chamberlain/35509.xml		FACTUAL_TELEPORT	data/teleporters/chamberlain/35509.xml
generated.route.026155c13df76c26890d7b95	NODE	generated.farm.7bdc2f1d6d9828cecb52857e	NODE	generated.farm.ec878c9a6b08b61c24a8b3be	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	922	3180			NEEDS_GEODATA	data/spawns/Oren/SeaOfSpores.xml|data/spawns/Oren/SeaOfSpores.xml
generated.route.02654602d662172534ecf9f8	NODE	generated.farm.8482ecac4a8f8b1044e846cb	NODE	generated.farm.afa946c77c6be59d634b7d89	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	1538	686			NEEDS_GEODATA	data/spawns/Goddard/GardenOfBeasts.xml|data/spawns/Goddard/GardenOfBeasts.xml
generated.route.02661c4c2fa345382f852a00	NODE	generated.farm.634bd11efd7d337bc9c2253a	NODE	generated.farm.635b6ee02756d19053de71dd	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	912	1358			NEEDS_GEODATA	data/spawns/Gludio/Wasteland.xml|data/spawns/Gludio/Wasteland.xml
generated.route.026ae8a2fa492a890bb77aa2	NODE	generated.farm.18c908cb2b87127780e52b0c	NODE	generated.farm.e0dbd77ee0dba1be697dfa6d	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	912	403			NEEDS_GEODATA	data/spawns/Gludio/Wasteland.xml|data/spawns/Gludio/Wasteland.xml
generated.route.0272d62639003f210c9ab334	NODE	generated.farm.d68d358156705a43ae085088	NODE	generated.farm.dfb4a481eb32c06d6cf72d76	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	926	1938			NEEDS_GEODATA	data/spawns/Innadril/GardenOfEva.xml|data/spawns/Innadril/GardenOfEva.xml
generated.route.0281503e1f39a5d89ca3b86b	NODE	generated.farm.29463d5f8a204936fd6d1f7f	NODE	generated.farm.65543779448d3090c1a25557	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	924	2296			NEEDS_GEODATA	data/spawns/Catacombs/NecropolisOfTheDisciples.xml|data/spawns/Catacombs/NecropolisOfTheDisciples.xml
generated.route.0282b4a6845b0616e668bea5	NODE	generated.farm.167d59b550bc5333b845ad5a	NODE	generated.farm.5ab81c7b502fd58c8ec0422e	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	1538	2071			NEEDS_GEODATA	data/spawns/Goddard/GardenOfBeasts.xml|data/spawns/Goddard/GardenOfBeasts.xml
generated.route.0282e075c30d0e9b30b70311	NODE	generated.farm.0aa79d67e281338055910dfd	NODE	generated.farm.c0f09858c2d456c296d6eb1e	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	915	1093			NEEDS_GEODATA	data/spawns/Catacombs/NecropolisOfDevotion.xml|data/spawns/Catacombs/NecropolisOfDevotion.xml
generated.route.028528efd0f7602ab1747399	NODE	generated.farm.1e2ec6bc9875389f32699056	NODE	generated.farm.a0500cba725e9d6d4b424a09	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	1537	22			NEEDS_GEODATA	data/spawns/Rune/SwampOfScreams.xml|data/spawns/Rune/SwampOfScreams.xml
generated.route.0291be24ced3fe4fb18be24b	TELEPORTER_NPC	35576	SOURCE_LOCATION	43805,-88010,-2780	TELEPORT_FACT	OTHER|Wild Beast Pastures			data/teleporters/clanhall/Rune/35576.xml		FACTUAL_TELEPORT	data/teleporters/clanhall/Rune/35576.xml
generated.route.0294a5e1f39919a9dafbfb58	NODE	generated.farm.486bf59580150dd42563e893	NODE	generated.farm.a2c14e0cd9953f66d916804f	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	924	3867			NEEDS_GEODATA	data/spawns/Aden/FieldsOfMassacre.xml|data/spawns/Aden/FieldsOfMassacre.xml
generated.route.0297c709273d551b4394d1a2	NODE	generated.farm.a4ef09033fc65ffdaed2c989	NODE	generated.farm.f76aa812b58e0b631c0140b7	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	926	1202			NEEDS_GEODATA	data/spawns/Innadril/GardenOfEva.xml|data/spawns/Innadril/GardenOfEva.xml
generated.route.029829a74c3bb0f2112b9911	NODE	generated.farm.7dfc2c399528baa43266e8c6	NODE	generated.farm.fd374dd39de6508cbf9efba6	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	915	1108			NEEDS_GEODATA	data/spawns/Catacombs/CatacombOfDarkOmens.xml|data/spawns/Catacombs/CatacombOfDarkOmens.xml
generated.route.029dd990764d0252a24d2bb0	NODE	generated.farm.40b965d582f13f0687008fda	NODE	generated.farm.6dc10d7a83362bf4ee61164d	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	922	2875			NEEDS_GEODATA	data/spawns/Oren/OutlawForest.xml|data/spawns/Oren/OutlawForest.xml
generated.route.02a1c84e459d11b80a68d632	NODE	generated.farm.20c79143f71e79c3f04ec4ee	NODE	generated.farm.6a7a8723d22b25699d6f5e19	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	1537	1830			NEEDS_GEODATA	data/spawns/Rune/SwampOfScreams.xml|data/spawns/Rune/SwampOfScreams.xml
generated.route.02a6e67427ce8674f2b410c3	NODE	generated.farm.4475282a85a97a4b396b967b	NODE	generated.farm.5241a753fc2261cfc117ac7b	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	1538	4066			NEEDS_GEODATA	data/spawns/Goddard/HotSprings.xml|data/spawns/Goddard/HotSprings.xml
generated.route.02be8b2280ca0f4f927ba72a	NODE	generated.farm.09edc98c74eb257722cb0c34	NODE	generated.farm.4f0b1780f352370bcdae7327	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	1538	2898			NEEDS_GEODATA	data/spawns/Goddard/ImperialTomb.xml|data/spawns/Goddard/ImperialTomb.xml
generated.route.02beddcec7b3829e925e349b	NODE	generated.farm.3dc57e2edf59f4b4e106512f	NODE	elven.farming.oren04-2019-10s	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	914	1359			NEEDS_GEODATA	data/spawns/ElvenTerritory/ElvenStarting.xml|data/spawns/ElvenTerritory/ElvenStarting.xml
generated.route.02bf1ae7e9c4bda767880dbc	NODE	generated.farm.3863b9fbd3c160db8929cf66	NODE	generated.farm.da010d63c7cf292c5ac8d4e3	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	1924	1676			NEEDS_GEODATA	data/spawns/Rune/PrimevalIsle.xml|data/spawns/Rune/PrimevalIsle.xml
generated.route.02cc76a31840ab23ab150c58	NODE	generated.farm.8da259d8241531db2cf50d56	NODE	generated.farm.f76aa812b58e0b631c0140b7	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	926	1863			NEEDS_GEODATA	data/spawns/Innadril/GardenOfEva.xml|data/spawns/Innadril/GardenOfEva.xml
generated.route.02cf7e59076b33ae46c1a5ae	TELEPORTER_NPC	30177	SOURCE_LOCATION	146783,25808,-2008	TELEPORT_FACT	NORMAL|Town of Aden			data/teleporters/town/30177.xml		FACTUAL_TELEPORT	data/teleporters/town/30177.xml
generated.route.02ea492ff9c90c25893fcd2f	TELEPORTER_NPC	35572	SOURCE_LOCATION	43307,-46563,-816	TELEPORT_FACT	OTHER|South Gate Entrance			data/teleporters/clanhall/Rune/35572.xml		FACTUAL_TELEPORT	data/teleporters/clanhall/Rune/35572.xml
generated.route.02f884f11852b36af7acb0e5	TELEPORTER_NPC	30899	SOURCE_LOCATION	-12787,122779,-3112	TELEPORT_FACT	NORMAL|The Town of Gludio			data/teleporters/town/30899.xml		FACTUAL_TELEPORT	data/teleporters/town/30899.xml
generated.route.02fe419cfb1cae886ae6ffef	NODE	generated.farm.624d608c56348ce7b626d20f	NODE	generated.farm.9a028c7ceae910169e60600a	REGION_LINK	same_instance_bucket_nearest_4_degree_4_distance_le_12000		7093			NEEDS_GEODATA	data/spawns/Dion/PlainsOfDion.xml|data/spawns/Dion/TanorCanyon.xml
generated.route.0306718cb01308ee383e56bb	NODE	generated.farm.72d2f371cf9eb7a0682e2dfe	NODE	generated.farm.977658cb85b0c8faca60bfbd	LOCAL_WALK	same_instance_bucket_nearest_4_degree_4_distance_le_12000	923	3002			NEEDS_GEODATA	data/spawns/Catacombs/CatacombOfTheForbiddenPath.xml|data/spawns/Catacombs/CatacombOfTheForbiddenPath.xml
