band	rank	coverage_key	source_path	source_zone	npc_level_min	npc_level_max	target_anchor_id	anchor_validation_status	active_anchor	current_reachable	teleporter_npc_id	transition_id	native_destination_name	destination_x	destination_y	destination_z	destination_connector_id	source_anchor_id	source_current_reachable	missing_hub	missing_local_route	closed_or_multifloor	estimated_new_geo_checks	selection_status	selection_reason
52-60	13	acbc1fbb53cc203c35e3437c800e0c3f10443d2ec3d041a05029cc393ff7f99a	data/spawns/Oren/OutlawForest.xml	oren31_2217_23	51	53	generated.farm.acbc1fbb53cc203c35e3437c.anchor	VALID	true	false	30177	transition.03b52a61ba56d5ba38fe219a	Outlaw Forest	91539	-12204	-2440	connector.054e8427f26dde711eae6e41		false	1	0	false	2	INVENTORY	FACTUAL_JOIN
52-60	14	4cc36c1a22a101feee890b279a3b6cf2d0ed2416178217a63d0c133d07997e9f	data/spawns/Rune/ValleyOfSaints.xml	rune08_2215_01	60	62	generated.farm.4cc36c1a22a101feee890b27.anchor	VALID	true	false	31320	transition.fbf183ab606cde6f80c19c41	Valley of Saints	65307	-71445	-3688	connector.0a12b99edcb44e9bb5dd83bf		false	1	0	false	2	INVENTORY	FACTUAL_JOIN
52-60	15	a870f32abb9dbeb0708ce6884eac4b3bc749da631bc252589c5a4530950ac721	data/spawns/Rune/ValleyOfSaints.xml	rune08_2215_03	60	62	generated.farm.a870f32abb9dbeb0708ce688.anchor	VALID	true	false	31320	transition.fbf183ab606cde6f80c19c41	Valley of Saints	65307	-71445	-3688	connector.0a12b99edcb44e9bb5dd83bf		false	1	0	false	2	INVENTORY	FACTUAL_JOIN
52-60	16	b89ca0b5dd9ae4d586a8f4a981152f6c0323555bb6d80c6591665363b5429084	data/spawns/Rune/ValleyOfSaints.xml	rune08_2215_02	60	62	generated.farm.b89ca0b5dd9ae4d586a8f4a9.anchor	VALID	true	false	31320	transition.fbf183ab606cde6f80c19c41	Valley of Saints	65307	-71445	-3688	connector.0a12b99edcb44e9bb5dd83bf		false	1	0	false	2	INVENTORY	FACTUAL_JOIN
52-60	17	2d848c4c64b764a5c6703a13eac613cc3ad84dd9b032bd3ea0ba5fa8aa71bfd2	data/spawns/Giran/DeathPass.xml	giran06_2221_07	35	57	generated.farm.2d848c4c64b764a5c6703a13.anchor	VALID	true	false	30233	transition.18da60a5f3b9c100c4926864	Dragon Valley	73024	118485	-3696	connector.638d0ad52195c732619764da		false	0	1	false	1	INVENTORY	FACTUAL_JOIN
52-60	18	4e8f9634b6ab180e0b7b711a1551e593a12fbee9dfe14939711d169c3de236eb	data/spawns/Giran/DeathPass.xml	giran06_2221_drake2	54	57	generated.farm.4e8f9634b6ab180e0b7b711a.anchor	VALID	true	false	30233	transition.18da60a5f3b9c100c4926864	Dragon Valley	73024	118485	-3696	connector.638d0ad52195c732619764da		false	0	1	false	1	INVENTORY	FACTUAL_JOIN
52-60	19	0c4956961495a7ebf596e350abb6ccfe341547a9c3909b20bc1f65eda8f971eb	data/spawns/Hunters/EnchantedValley.xml	aden08_2319_50	50	52	generated.farm.0c4956961495a7ebf596e350.anchor	VALID	true	false	30233	transition.7f0a7040227b5536ee56cf46	Enchanted Valley, Southern Region	124904	61992	-3920	connector.a7741f1237198797e1cc3819		false	0	1	false	1	INVENTORY	FACTUAL_JOIN
52-60	20	499c9724eb1515ff77ed419f10a3a2bdd1d7fa5255d95994b0d5d62cd33ec8a8	data/spawns/Hunters/EnchantedValley.xml	aden08_2319_62	51	53	generated.farm.499c9724eb1515ff77ed419f.anchor	VALID	true	false	30233	transition.7f0a7040227b5536ee56cf46	Enchanted Valley, Southern Region	124904	61992	-3920	connector.a7741f1237198797e1cc3819		false	0	1	false	1	INVENTORY	FACTUAL_JOIN
52-60	21	a28688688ab429a7b503bff47bd39e4e499b2ec8fcb7cf8bf1ade20eedcc6b53	data/spawns/Hunters/EnchantedValley.xml	aden08_2319_53	52	55	generated.farm.a28688688ab429a7b503bff4.anchor	VALID	true	false	30233	transition.7f0a7040227b5536ee56cf46	Enchanted Valley, Southern Region	124904	61992	-3920	connector.a7741f1237198797e1cc3819		false	0	1	false	1	INVENTORY	FACTUAL_JOIN
52-60	22	cbf10df69301e2982f8859d9b1ac28aaaa9baf171cf77efc728401e6542150ab	data/spawns/Hunters/EnchantedValley.xml	aden08_2319_45	50	52	generated.farm.cbf10df69301e2982f8859d9.anchor	VALID	true	false	30233	transition.7f0a7040227b5536ee56cf46	Enchanted Valley, Southern Region	124904	61992	-3920	connector.a7741f1237198797e1cc3819		false	0	1	false	1	INVENTORY	FACTUAL_JOIN
52-60	23	dc5d2d4b093743fe7252925eafc6228bf83c31cc890b74ebbbaa0747b3a5e521	data/spawns/Hunters/EnchantedValley.xml	aden08_2319_55	51	53	generated.farm.dc5d2d4b093743fe7252925e.anchor	VALID	true	false	30233	transition.7f0a7040227b5536ee56cf46	Enchanted Valley, Southern Region	124904	61992	-3920	connector.a7741f1237198797e1cc3819		false	0	1	false	1	INVENTORY	FACTUAL_JOIN
52-60	24	e9d861e31ed3427d310f8ea551235d4c0278371016434fcfb3fd807418e831aa	data/spawns/Hunters/EnchantedValley.xml	aden08_2319_59	51	53	generated.farm.e9d861e31ed3427d310f8ea5.anchor	VALID	true	false	30233	transition.7f0a7040227b5536ee56cf46	Enchanted Valley, Southern Region	124904	61992	-3920	connector.a7741f1237198797e1cc3819		false	0	1	false	1	INVENTORY	FACTUAL_JOIN
52-60	25	6161a70a10fd8ff3c9aedf17495c744ea728f1513b63c2c35b78458334d6e9bf	data/spawns/Aden/FieldsOfMassacre.xml	aden26_2517_19	55	57	generated.farm.6161a70a10fd8ff3c9aedf17.anchor	VALID	true	false	30848	transition.0b68e8519fa2b1efad9e561b	Fields of Massacre	183543	-14974	-2776	connector.81edd5ec4c23364a1ef2037a		false	1	1	false	3	INVENTORY	FACTUAL_JOIN
52-60	26	07aa3c8991e6438af259d433e07d8d6e68f0ffad28c5da9b792e4aefa4a80e5e	data/spawns/Oren/OutlawForest.xml	oren31_2217_19s	50	52	generated.farm.07aa3c8991e6438af259d433.anchor	VALID	true	false	30177	transition.03b52a61ba56d5ba38fe219a	Outlaw Forest	91539	-12204	-2440	connector.054e8427f26dde711eae6e41		false	1	1	false	3	INVENTORY	FACTUAL_JOIN
52-60	27	2693ea4499f71ff4d1f1eb5a11feaa5f708a5c54963eaf7a67f620b5c7e051e7	data/spawns/Oren/OutlawForest.xml	oren31_2217_01	50	55	generated.farm.2693ea4499f71ff4d1f1eb5a.anchor	VALID	true	false	30177	transition.03b52a61ba56d5ba38fe219a	Outlaw Forest	91539	-12204	-2440	connector.054e8427f26dde711eae6e41		false	1	1	false	3	INVENTORY	FACTUAL_JOIN
52-60	28	2d34dad8a747debc12f8d689919b380d1f65bfdcd16b32c73c5e9d00f9b633e7	data/spawns/Oren/OutlawForest.xml	oren31_2317_05s	54	55	generated.farm.2d34dad8a747debc12f8d689.anchor	VALID	true	false	30177	transition.03b52a61ba56d5ba38fe219a	Outlaw Forest	91539	-12204	-2440	connector.054e8427f26dde711eae6e41		false	1	1	false	3	INVENTORY	FACTUAL_JOIN
52-60	29	3701dc7e5534231d4512f2ced3eff5485d47aa1aa509c644c85b0f92dc0a2e49	data/spawns/Oren/OutlawForest.xml	oren31_2217_07	50	55	generated.farm.3701dc7e5534231d4512f2ce.anchor	VALID	true	false	30177	transition.03b52a61ba56d5ba38fe219a	Outlaw Forest	91539	-12204	-2440	connector.054e8427f26dde711eae6e41		false	1	1	false	3	INVENTORY	FACTUAL_JOIN
52-60	30	40b965d582f13f0687008fda2273387f733b07bb17b50c41c29a81d20f54bedc	data/spawns/Oren/OutlawForest.xml	oren31_2217_06	50	55	generated.farm.40b965d582f13f0687008fda.anchor	VALID	true	false	30177	transition.03b52a61ba56d5ba38fe219a	Outlaw Forest	91539	-12204	-2440	connector.054e8427f26dde711eae6e41		false	1	1	false	3	INVENTORY	FACTUAL_JOIN
52-60	31	4ebfbc87cab37239bdc88f91a363974a0175c838c9ba3f672896a9214c089a17	data/spawns/Oren/OutlawForest.xml	oren31_2217_04	50	55	generated.farm.4ebfbc87cab37239bdc88f91.anchor	VALID	true	false	30177	transition.03b52a61ba56d5ba38fe219a	Outlaw Forest	91539	-12204	-2440	connector.054e8427f26dde711eae6e41		false	1	1	false	3	INVENTORY	FACTUAL_JOIN
52-60	32	896e23fa20bdc21f9b79b77bc58bdc8415bd8932dc546b9440c509c0661a0deb	data/spawns/Oren/OutlawForest.xml	oren31_2217_05	50	55	generated.farm.896e23fa20bdc21f9b79b77b.anchor	VALID	true	false	30177	transition.03b52a61ba56d5ba38fe219a	Outlaw Forest	91539	-12204	-2440	connector.054e8427f26dde711eae6e41		false	1	1	false	3	INVENTORY	FACTUAL_JOIN
52-60	33	c1f6acc47946c796b2f8753dd5f55717eaf6554a548e3e443eaab763fc2ec764	data/spawns/Oren/OutlawForest.xml	oren31_2217_26	51	55	generated.farm.c1f6acc47946c796b2f8753d.anchor	VALID	true	false	30177	transition.03b52a61ba56d5ba38fe219a	Outlaw Forest	91539	-12204	-2440	connector.054e8427f26dde711eae6e41		false	1	1	false	3	INVENTORY	FACTUAL_JOIN
52-60	34	cb230c9e1aab9953fcd7e3713b54c9769a68b54d162a934f2ab8a6f93e9dc267	data/spawns/Oren/OutlawForest.xml	oren31_2217_13s	51	52	generated.farm.cb230c9e1aab9953fcd7e371.anchor	VALID	true	false	30177	transition.03b52a61ba56d5ba38fe219a	Outlaw Forest	91539	-12204	-2440	connector.054e8427f26dde711eae6e41		false	1	1	false	3	INVENTORY	FACTUAL_JOIN
52-60	35	e88dc5c43b17ba3082defa268d0543b3ea9743b66d7958a997eed05156a137e4	data/spawns/Oren/OutlawForest.xml	oren31_2217_02	53	55	generated.farm.e88dc5c43b17ba3082defa26.anchor	VALID	true	false	30177	transition.03b52a61ba56d5ba38fe219a	Outlaw Forest	91539	-12204	-2440	connector.054e8427f26dde711eae6e41		false	1	1	false	3	INVENTORY	FACTUAL_JOIN
52-60	36	f03e3b3fef47d2beb2d4b0312a9ad87cb1f58a0fafc3d72b41d7b5ad71988326	data/spawns/Oren/OutlawForest.xml	oren31_2217_03	50	55	generated.farm.f03e3b3fef47d2beb2d4b031.anchor	VALID	true	false	30177	transition.03b52a61ba56d5ba38fe219a	Outlaw Forest	91539	-12204	-2440	connector.054e8427f26dde711eae6e41		false	1	1	false	3	INVENTORY	FACTUAL_JOIN
52-60	37	fd3a989c7c883fb7b6b8981aa5d96d1e3890e0f78e80d52b71b083439de267a6	data/spawns/Oren/OutlawForest.xml	oren31_2317_02s	52	55	generated.farm.fd3a989c7c883fb7b6b8981a.anchor	VALID	true	false	30177	transition.03b52a61ba56d5ba38fe219a	Outlaw Forest	91539	-12204	-2440	connector.054e8427f26dde711eae6e41		false	1	1	false	3	INVENTORY	FACTUAL_JOIN
52-60	38	054a33b59b94dcb5d5e8d43a2b301a3f8e6108c507564a3090731a56a1e28929	data/spawns/Rune/ValleyOfSaints.xml	rune08_2215_11	60	62	generated.farm.054a33b59b94dcb5d5e8d43a.anchor	VALID	true	false	31320	transition.fbf183ab606cde6f80c19c41	Valley of Saints	65307	-71445	-3688	connector.0a12b99edcb44e9bb5dd83bf		false	1	1	false	3	INVENTORY	FACTUAL_JOIN
52-60	39	1398c7853cce4d3ba04af65e414ad83a3b3c791985ece6f2f9a88d661a32dfaa	data/spawns/Rune/ValleyOfSaints.xml	rune08_2215_09	60	62	generated.farm.1398c7853cce4d3ba04af65e.anchor	VALID	true	false	31320	transition.fbf183ab606cde6f80c19c41	Valley of Saints	65307	-71445	-3688	connector.0a12b99edcb44e9bb5dd83bf		false	1	1	false	3	INVENTORY	FACTUAL_JOIN
52-60	40	1935549a68c21399ff38e40f323bb5d4fd684c559d602d2f9d9e0632e49d2bc2	data/spawns/Rune/ValleyOfSaints.xml	rune08_2215_13	60	63	generated.farm.1935549a68c21399ff38e40f.anchor	VALID	true	false	31320	transition.fbf183ab606cde6f80c19c41	Valley of Saints	65307	-71445	-3688	connector.0a12b99edcb44e9bb5dd83bf		false	1	1	false	3	INVENTORY	FACTUAL_JOIN
52-60	41	25cf97f188e8ecbb298e1f9ef52c15b632a82235206e0f276511aa5582dc2b3a	data/spawns/Rune/ValleyOfSaints.xml	rune08_2215_22	60	63	generated.farm.25cf97f188e8ecbb298e1f9e.anchor	VALID	true	false	31320	transition.fbf183ab606cde6f80c19c41	Valley of Saints	65307	-71445	-3688	connector.0a12b99edcb44e9bb5dd83bf		false	1	1	false	3	INVENTORY	FACTUAL_JOIN
52-60	42	5029ee4e740ac07b4f22377a787b87b96194f7c98d356725b099ce177ffa5d11	data/spawns/Rune/ValleyOfSaints.xml	rune08_2215_04	60	62	generated.farm.5029ee4e740ac07b4f22377a.anchor	VALID	true	false	31320	transition.fbf183ab606cde6f80c19c41	Valley of Saints	65307	-71445	-3688	connector.0a12b99edcb44e9bb5dd83bf		false	1	1	false	3	INVENTORY	FACTUAL_JOIN
52-60	43	6d3045661eab6dc4d2142d40126d90b0a25abfbf9c815da27f1eeafb882f256a	data/spawns/Rune/ValleyOfSaints.xml	rune08_2215_14	60	61	generated.farm.6d3045661eab6dc4d2142d40.anchor	VALID	true	false	31320	transition.fbf183ab606cde6f80c19c41	Valley of Saints	65307	-71445	-3688	connector.0a12b99edcb44e9bb5dd83bf		false	1	1	false	3	INVENTORY	FACTUAL_JOIN
52-60	44	71a99f664b20a326aae2830dc85a9ca1c62f3582f84489aa87506b0088ec43c8	data/spawns/Rune/ValleyOfSaints.xml	rune08_2215_05	60	62	generated.farm.71a99f664b20a326aae2830d.anchor	VALID	true	false	31320	transition.fbf183ab606cde6f80c19c41	Valley of Saints	65307	-71445	-3688	connector.0a12b99edcb44e9bb5dd83bf		false	1	1	false	3	INVENTORY	FACTUAL_JOIN
52-60	45	9d82a6218fe01968b8380af089aab4d99bf0520544665d57ce0c34e9a3850f27	data/spawns/Rune/ValleyOfSaints.xml	rune08_2215_07	60	62	generated.farm.9d82a6218fe01968b8380af0.anchor	VALID	true	false	31320	transition.fbf183ab606cde6f80c19c41	Valley of Saints	65307	-71445	-3688	connector.0a12b99edcb44e9bb5dd83bf		false	1	1	false	3	INVENTORY	FACTUAL_JOIN
52-60	46	a78b27c6b53d90451c41caaf7c6ab8d6b569b0ad557cd8e8d745104e983f3b52	data/spawns/Rune/ValleyOfSaints.xml	rune08_2215_12	60	61	generated.farm.a78b27c6b53d90451c41caaf.anchor	VALID	true	false	31320	transition.fbf183ab606cde6f80c19c41	Valley of Saints	65307	-71445	-3688	connector.0a12b99edcb44e9bb5dd83bf		false	1	1	false	3	INVENTORY	FACTUAL_JOIN
52-60	47	e6ac57e58e205cc3e2a79457e73270667c05fbc3d4896d68e1cf292f51c98161	data/spawns/Rune/ValleyOfSaints.xml	rune08_2215_06	60	62	generated.farm.e6ac57e58e205cc3e2a79457.anchor	VALID	true	false	31320	transition.fbf183ab606cde6f80c19c41	Valley of Saints	65307	-71445	-3688	connector.0a12b99edcb44e9bb5dd83bf		false	1	1	false	3	INVENTORY	FACTUAL_JOIN
52-60	48	11b0f1cada7e4b7c05b443d9d9c21edac5b5907b2959eeb7af1f6a80c3a1261a	data/spawns/Aden/Cemetery.xml	aden09_2518_16	53	55	generated.farm.11b0f1cada7e4b7c05b443d9.anchor	PLANNER_TARGET_DISTANCE	false	false									false	0	1	false	99	INVENTORY	NO_VALID_DESTINATION_CONNECTOR
52-60	49	199038fedc2637a54ac927a491138286abd592ea69ea6d69931cdfc6328194f4	data/spawns/Aden/Cemetery.xml	aden09_2518_15	53	54	generated.farm.199038fedc2637a54ac927a4.anchor	PLANNER_TARGET_DISTANCE	false	false									false	0	1	false	99	INVENTORY	NO_VALID_DESTINATION_CONNECTOR
52-60	50	26c5c7562df827401c88891e50516467521e50b5ecd04181c4cd024fe6924878	data/spawns/Aden/Cemetery.xml	aden09_2518_09	51	52	generated.farm.26c5c7562df827401c88891e.anchor	PLANNER_TARGET_DISTANCE	false	false									false	0	1	false	99	INVENTORY	NO_VALID_DESTINATION_CONNECTOR
52-60	51	43a72b92c551ad26fd9f15e99bcb5b1fccfa597522c87816fd3bf414e2ba6a99	data/spawns/Aden/Cemetery.xml	aden01_qm2518_01	60	60	generated.farm.43a72b92c551ad26fd9f15e9.anchor	AMBIGUOUS_GEOMETRY	false	false									false	0	1	false	99	INVENTORY	NO_VALID_DESTINATION_CONNECTOR
52-60	52	61116e7159c132cb2c646bc798b03dd9533c2c44d62a125986f3f3318592be81	data/spawns/Aden/Cemetery.xml	aden09_2518_21	52	52	generated.farm.61116e7159c132cb2c646bc7.anchor	AMBIGUOUS_GEOMETRY	false	false									false	0	1	false	99	INVENTORY	NO_VALID_DESTINATION_CONNECTOR
52-60	53	6d0e0e0a1e960f1b2cee3e8daa20bdcade9ef37a7c5a2eb631ecddeafd458313	data/spawns/Aden/Cemetery.xml	aden09_2518_20	52	52	generated.farm.6d0e0e0a1e960f1b2cee3e8d.anchor	AMBIGUOUS_GEOMETRY	false	false									false	0	1	false	99	INVENTORY	NO_VALID_DESTINATION_CONNECTOR
52-60	54	726db2f5b63cee235103771e81f65628a90b9303b017420b27c1178197ecac7e	data/spawns/Aden/Cemetery.xml	aden09_2518_12	53	54	generated.farm.726db2f5b63cee235103771e.anchor	PLANNER_TARGET_DISTANCE	false	false									false	0	1	false	99	INVENTORY	NO_VALID_DESTINATION_CONNECTOR
52-60	55	7cf56d6ed4759affcb06f927c940d24f631f176309bac6cb53e1c7c9e5c0d887	data/spawns/Aden/Cemetery.xml	aden09_2518_13	53	54	generated.farm.7cf56d6ed4759affcb06f927.anchor	PLANNER_TARGET_DISTANCE	false	false									false	0	1	false	99	INVENTORY	NO_VALID_DESTINATION_CONNECTOR
52-60	56	7f8cda2c3de80abefacf7de311bbf92ee667a212340d0c747f1c0a08e09bdae1	data/spawns/Aden/Cemetery.xml	aden09_2518_17	53	55	generated.farm.7f8cda2c3de80abefacf7de3.anchor	PLANNER_TARGET_DISTANCE	false	false									false	0	1	false	99	INVENTORY	NO_VALID_DESTINATION_CONNECTOR
52-60	57	db3c4bb8e75c33da242515e235da2c952aa90bcbe8a2f03d1be56af3d4212508	data/spawns/Aden/Cemetery.xml	aden01_qm2518_02	60	60	generated.farm.db3c4bb8e75c33da242515e2.anchor	AMBIGUOUS_GEOMETRY	false	false									false	0	1	false	99	INVENTORY	NO_VALID_DESTINATION_CONNECTOR
52-60	58	e2338fbcc894e246763244286b4bb4f840363d97b0486ddb96f5a0a5d62aacd2	data/spawns/Aden/Cemetery.xml	aden09_2518_11	53	54	generated.farm.e2338fbcc894e24676324428.anchor	PLANNER_TARGET_DISTANCE	false	false									false	0	1	false	99	INVENTORY	NO_VALID_DESTINATION_CONNECTOR
52-60	59	f1be2e8a45421d11b7a1828e1ebf6407af50d2050ddc34971f250b71b5292299	data/spawns/Aden/Cemetery.xml	aden09_2518_14	53	54	generated.farm.f1be2e8a45421d11b7a1828e.anchor	PLANNER_TARGET_DISTANCE	false	false									false	0	1	false	99	INVENTORY	NO_VALID_DESTINATION_CONNECTOR
52-60	60	f4e74a52ad3a5da62ff75f5a375eb5fd9ceee44265c197480faf0e0c52e6644b	data/spawns/Aden/Cemetery.xml	aden09_2518_10	51	52	generated.farm.f4e74a52ad3a5da62ff75f5a.anchor	PLANNER_TARGET_DISTANCE	false	false									false	0	1	false	99	INVENTORY	NO_VALID_DESTINATION_CONNECTOR
52-60	61	1b4a3951e129af31a1db88d68834cc1d8e14e62036a7a7208d9adb14c7eace8e	data/spawns/Aden/FieldsOfMassacre.xml	aden26_2517_08	58	60	generated.farm.1b4a3951e129af31a1db88d6.anchor	PLANNER_TARGET_DISTANCE	false	false									false	0	1	false	99	INVENTORY	NO_VALID_DESTINATION_CONNECTOR
52-60	62	1ff7915358bee74020f8eceef67c0efb9e0533c9ae2608d457590fc2fcb5c394	data/spawns/Aden/FieldsOfMassacre.xml	aden26_2517_02	58	60	generated.farm.1ff7915358bee74020f8ecee.anchor	OUTSIDE_GEOMETRY	false	false									false	0	1	false	99	INVENTORY	NO_VALID_DESTINATION_CONNECTOR
52-60	63	38b724447ae183eecae54e53ee9f347a84f84e324310f5bf9dba2b8af0f001b6	data/spawns/Aden/FieldsOfMassacre.xml	aden26_2517_16	55	57	generated.farm.38b724447ae183eecae54e53.anchor	OUTSIDE_GEOMETRY	false	false									false	0	1	false	99	INVENTORY	NO_VALID_DESTINATION_CONNECTOR
52-60	64	59f9a432808b0fc87275e639493f2ff61e3be80f8116d642dac67e5f2fb234b7	data/spawns/Aden/FieldsOfMassacre.xml	aden26_2517_15	58	60	generated.farm.59f9a432808b0fc87275e639.anchor	AMBIGUOUS_GEOMETRY	false	false									false	0	1	false	99	INVENTORY	NO_VALID_DESTINATION_CONNECTOR
52-60	65	5dad56bb69cd06c95d7cff20913252bfc50586016cd818f55ba03fd8901d0382	data/spawns/Aden/FieldsOfMassacre.xml	aden26_2517_17	55	57	generated.farm.5dad56bb69cd06c95d7cff20.anchor	PLANNER_TARGET_DISTANCE	false	false									false	0	1	false	99	INVENTORY	NO_VALID_DESTINATION_CONNECTOR
52-60	66	7444924a1e3a60749ba8978861002fe5552d69606fc0d9e96db45e3e74446d49	data/spawns/Aden/FieldsOfMassacre.xml	aden26_2517_25	58	60	generated.farm.7444924a1e3a60749ba89788.anchor	OUTSIDE_GEOMETRY	false	false									false	0	1	false	99	INVENTORY	NO_VALID_DESTINATION_CONNECTOR
52-60	67	911683b3f877fd0a42ef58f2fe880c9ec6aeab61b67bdc25cf1899c144933a18	data/spawns/Aden/FieldsOfMassacre.xml	aden26_2517_18	55	57	generated.farm.911683b3f877fd0a42ef58f2.anchor	PLANNER_TARGET_DISTANCE	false	false									false	0	1	false	99	INVENTORY	NO_VALID_DESTINATION_CONNECTOR
52-60	68	9396b8eb232f85892aded20147dd737b1d8f9f44f5b564e34b77b7faeb821b33	data/spawns/Aden/FieldsOfMassacre.xml	aden26_2517_14	55	57	generated.farm.9396b8eb232f85892aded201.anchor	PLANNER_TARGET_DISTANCE	false	false									false	0	1	false	99	INVENTORY	NO_VALID_DESTINATION_CONNECTOR
