ordinal	geo_x	geo_y	world_x	world_y	geo_z
80	52563	32134	185656	-75672	-2728
81	52562	32134	185640	-75672	-2728
82	52561	32134	185624	-75672	-2728
83	52560	32134	185608	-75672	-2728
84	52559	32134	185592	-75672	-2728
85	52558	32134	185576	-75672	-2728
86	52557	32134	185560	-75672	-2728
87	52556	32134	185544	-75672	-2728
88	52555	32134	185528	-75672	-2728
89	52554	32134	185512	-75672	-2728
90	52553	32134	185496	-75672	-2728
91	52552	32134	185480	-75672	-2728
92	52551	32134	185464	-75672	-2728
93	52550	32134	185448	-75672	-2728
94	52549	32134	185432	-75672	-2728
95	52548	32134	185416	-75672	-2728
96	52547	32134	185400	-75672	-2728
97	52546	32134	185384	-75672	-2728
98	52545	32134	185368	-75672	-2728
99	52544	32134	185352	-75672	-2728
100	52543	32134	185336	-75672	-2728
101	52542	32134	185320	-75672	-2728
102	52541	32134	185304	-75672	-2728
103	52540	32134	185288	-75672	-2728
104	52539	32134	185272	-75672	-2728
105	52538	32134	185256	-75672	-2728
106	52537	32134	185240	-75672	-2728
107	52536	32134	185224	-75672	-2728
108	52535	32134	185208	-75672	-2728
109	52534	32134	185192	-75672	-2728
110	52533	32134	185176	-75672	-2728
111	52532	32134	185160	-75672	-2728
112	52531	32134	185144	-75672	-2728
113	52530	32134	185128	-75672	-2728
114	52529	32134	185112	-75672	-2728
115	52528	32134	185096	-75672	-2728
116	52527	32134	185080	-75672	-2728
117	52526	32134	185064	-75672	-2728
118	52525	32134	185048	-75672	-2728
119	52524	32134	185032	-75672	-2728
120	52523	32134	185016	-75672	-2728
121	52522	32134	185000	-75672	-2728
122	52521	32134	184984	-75672	-2728
123	52520	32134	184968	-75672	-2728
124	52519	32134	184952	-75672	-2728
125	52519	32133	184952	-75688	-2728
126	52518	32133	184936	-75688	-2728
127	52518	32132	184936	-75704	-2728
128	52517	32132	184920	-75704	-2728
129	52516	32132	184904	-75704	-2728
130	52515	32132	184888	-75704	-2728
131	52514	32132	184872	-75704	-2728
132	52513	32132	184856	-75704	-2728
133	52512	32132	184840	-75704	-2728
134	52511	32132	184824	-75704	-2728
135	52511	32131	184824	-75720	-2728
136	52511	32130	184824	-75736	-2728
137	52511	32129	184824	-75752	-2728
138	52511	32128	184824	-75768	-2728
139	52511	32127	184824	-75784	-2728
140	52511	32126	184824	-75800	-2728
141	52511	32125	184824	-75816	-2728
142	52511	32124	184824	-75832	-2728
143	52511	32123	184824	-75848	-2728
144	52511	32122	184824	-75864	-2728
145	52511	32121	184824	-75880	-2728
146	52511	32120	184824	-75896	-2728
147	52511	32119	184824	-75912	-2728
148	52511	32118	184824	-75928	-2728
149	52512	32118	184840	-75928	-2728
150	52512	32117	184840	-75944	-2728
151	52512	32116	184840	-75960	-2728
152	52512	32115	184840	-75976	-2728
153	52512	32114	184840	-75992	-2728
154	52512	32113	184840	-76008	-2728
155	52512	32112	184840	-76024	-2728
156	52512	32111	184840	-76040	-2728
157	52512	32110	184840	-76056	-2728
158	52512	32109	184840	-76072	-2728
159	52512	32108	184840	-76088	-2728
160	52512	32107	184840	-76104	-2728
161	52512	32106	184840	-76120	-2728
162	52512	32105	184840	-76136	-2728
163	52512	32104	184840	-76152	-2728
164	52512	32103	184840	-76168	-2728
165	52512	32102	184840	-76184	-2728
166	52512	32101	184840	-76200	-2728
167	52512	32100	184840	-76216	-2728
168	52512	32099	184840	-76232	-2728
169	52512	32098	184840	-76248	-2728
170	52512	32097	184840	-76264	-2728
171	52512	32096	184840	-76280	-2728
172	52512	32095	184840	-76296	-2728
173	52512	32094	184840	-76312	-2728
174	52512	32093	184840	-76328	-2728
175	52512	32092	184840	-76344	-2728
176	52512	32091	184840	-76360	-2728
177	52512	32090	184840	-76376	-2728
178	52512	32089	184840	-76392	-2728
179	52512	32088	184840	-76408	-2728
180	52512	32087	184840	-76424	-2728
181	52512	32086	184840	-76440	-2728
182	52512	32085	184840	-76456	-2728
183	52512	32084	184840	-76472	-2728
184	52512	32083	184840	-76488	-2728
185	52512	32082	184840	-76504	-2728
186	52512	32081	184840	-76520	-2728
187	52512	32080	184840	-76536	-2728
188	52512	32079	184840	-76552	-2728
189	52512	32078	184840	-76568	-2728
190	52512	32077	184840	-76584	-2728
191	52512	32076	184840	-76600	-2728
192	52512	32075	184840	-76616	-2728
193	52512	32074	184840	-76632	-2728
194	52512	32073	184840	-76648	-2728
195	52512	32072	184840	-76664	-2728
196	52512	32071	184840	-76680	-2728
197	52512	32070	184840	-76696	-2728
198	52512	32069	184840	-76712	-2728
199	52512	32068	184840	-76728	-2728
200	52512	32067	184840	-76744	-2728
201	52512	32066	184840	-76760	-2728
202	52512	32065	184840	-76776	-2728
203	52512	32064	184840	-76792	-2728
204	52512	32063	184840	-76808	-2728
205	52512	32062	184840	-76824	-2728
206	52512	32061	184840	-76840	-2728
207	52512	32060	184840	-76856	-2728
208	52512	32059	184840	-76872	-2728
209	52512	32058	184840	-76888	-2728
210	52512	32057	184840	-76904	-2728
211	52512	32056	184840	-76920	-2728
212	52512	32055	184840	-76936	-2728
213	52511	32055	184824	-76936	-2728
214	52511	32054	184824	-76952	-2728
215	52511	32053	184824	-76968	-2728
216	52511	32052	184824	-76984	-2728
217	52511	32051	184824	-77000	-2728
218	52511	32050	184824	-77016	-2728
219	52511	32049	184824	-77032	-2728
220	52511	32048	184824	-77048	-2728
221	52511	32047	184824	-77064	-2728
222	52511	32046	184824	-77080	-2728
223	52511	32045	184824	-77096	-2728
224	52511	32044	184824	-77112	-2728
225	52511	32043	184824	-77128	-2728
226	52511	32042	184824	-77144	-2728
227	52511	32041	184824	-77160	-2728
228	52511	32040	184824	-77176	-2728
229	52511	32039	184824	-77192	-2728
230	52511	32038	184824	-77208	-2728
231	52511	32037	184824	-77224	-2728
232	52511	32036	184824	-77240	-2728
233	52510	32036	184808	-77240	-2728
234	52510	32035	184808	-77256	-2728
235	52510	32034	184808	-77272	-2728
236	52510	32033	184808	-77288	-2728
237	52510	32032	184808	-77304	-2728
238	52510	32031	184808	-77320	-2728
239	52510	32030	184808	-77336	-2728
240	52510	32029	184808	-77352	-2728
241	52510	32028	184808	-77368	-2728
242	52510	32027	184808	-77384	-2728
243	52510	32026	184808	-77400	-2728
244	52510	32025	184808	-77416	-2728
245	52510	32024	184808	-77432	-2728
246	52509	32024	184792	-77432	-2728
247	52509	32023	184792	-77448	-2728
248	52509	32022	184792	-77464	-2728
249	52508	32022	184776	-77464	-2728
250	52508	32021	184776	-77480	-2728
251	52508	32020	184776	-77496	-2728
252	52508	32019	184776	-77512	-2728
253	52507	32019	184760	-77512	-2728
254	52507	32018	184760	-77528	-2728
255	52507	32017	184760	-77544	-2728
256	52507	32016	184760	-77560	-2728
257	52506	32016	184744	-77560	-2728
258	52506	32015	184744	-77576	-2728
259	52506	32014	184744	-77592	-2728
260	52506	32013	184744	-77608	-2728
261	52506	32012	184744	-77624	-2728
262	52506	32011	184744	-77640	-2728
263	52506	32010	184744	-77656	-2728
264	52506	32009	184744	-77672	-2728
265	52505	32009	184728	-77672	-2728
266	52505	32008	184728	-77688	-2728
267	52505	32007	184728	-77704	-2728
268	52504	32007	184712	-77704	-2728
269	52504	32006	184712	-77720	-2728
270	52504	32005	184712	-77736	-2728
271	52504	32004	184712	-77752	-2728
272	52503	32004	184696	-77752	-2728
273	52503	32003	184696	-77768	-2728
274	52503	32002	184696	-77784	-2728
275	52502	32002	184680	-77784	-2728
276	52502	32001	184680	-77800	-2728
277	52502	32000	184680	-77816	-2728
278	52501	32000	184664	-77816	-2728
279	52501	31999	184664	-77832	-2728
280	52500	31999	184648	-77832	-2728
281	52500	31998	184648	-77848	-2728
282	52500	31997	184648	-77864	-2728
283	52499	31997	184632	-77864	-2728
284	52499	31996	184632	-77880	-2728
285	52499	31995	184632	-77896	-2728
286	52498	31995	184616	-77896	-2728
287	52498	31994	184616	-77912	-2728
288	52498	31993	184616	-77928	-2728
289	52497	31993	184600	-77928	-2728
290	52497	31992	184600	-77944	-2728
291	52497	31991	184600	-77960	-2728
292	52496	31991	184584	-77960	-2728
293	52496	31990	184584	-77976	-2728
294	52495	31990	184568	-77976	-2728
295	52495	31989	184568	-77992	-2728
296	52495	31988	184568	-78008	-2728
297	52494	31988	184552	-78008	-2728
298	52494	31987	184552	-78024	-2728
299	52494	31986	184552	-78040	-2728
300	52494	31985	184552	-78056	-2728
301	52494	31984	184552	-78072	-2728
302	52494	31983	184552	-78088	-2728
303	52494	31982	184552	-78104	-2728
304	52494	31981	184552	-78120	-2728
305	52494	31980	184552	-78136	-2728
306	52494	31979	184552	-78152	-2728
307	52494	31978	184552	-78168	-2728
308	52494	31977	184552	-78184	-2728
309	52494	31976	184552	-78200	-2728
310	52494	31975	184552	-78216	-2728
311	52494	31974	184552	-78232	-2728
312	52494	31973	184552	-78248	-2728
313	52494	31972	184552	-78264	-2728
314	52494	31971	184552	-78280	-2728
315	52494	31970	184552	-78296	-2728
316	52494	31969	184552	-78312	-2728
317	52494	31968	184552	-78328	-2728
318	52494	31967	184552	-78344	-2728
319	52494	31966	184552	-78360	-2728
320	52494	31965	184552	-78376	-2728
321	52494	31964	184552	-78392	-2728
322	52494	31963	184552	-78408	-2728
323	52493	31963	184536	-78408	-2728
324	52493	31962	184536	-78424	-2728
325	52492	31962	184520	-78424	-2728
326	52492	31961	184520	-78440	-2728
327	52491	31961	184504	-78440	-2728
328	52491	31960	184504	-78456	-2728
329	52490	31960	184488	-78456	-2728
330	52490	31959	184488	-78472	-2728
331	52489	31959	184472	-78472	-2728
332	52489	31958	184472	-78488	-2728
333	52488	31958	184456	-78488	-2728
334	52487	31958	184440	-78488	-2728
335	52486	31958	184424	-78488	-2728
336	52485	31958	184408	-78488	-2728
337	52484	31958	184392	-78488	-2728
338	52483	31958	184376	-78488	-2728
339	52482	31958	184360	-78488	-2728
340	52481	31958	184344	-78488	-2728
341	52480	31958	184328	-78488	-2728
342	52479	31958	184312	-78488	-2728
343	52478	31958	184296	-78488	-2728
344	52477	31958	184280	-78488	-2728
345	52476	31958	184264	-78488	-2728
346	52475	31958	184248	-78488	-2728
347	52474	31958	184232	-78488	-2728
348	52473	31958	184216	-78488	-2728
349	52472	31958	184200	-78488	-2728
350	52471	31958	184184	-78488	-2728
351	52470	31958	184168	-78488	-2728
352	52469	31958	184152	-78488	-2728
353	52468	31958	184136	-78488	-2728
354	52467	31958	184120	-78488	-2728
355	52466	31958	184104	-78488	-2728
356	52465	31958	184088	-78488	-2728
357	52464	31958	184072	-78488	-2728
358	52463	31958	184056	-78488	-2728
359	52462	31958	184040	-78488	-2728
360	52461	31958	184024	-78488	-2728
361	52460	31958	184008	-78488	-2728
362	52459	31958	183992	-78488	-2728
363	52458	31958	183976	-78488	-2728
364	52457	31958	183960	-78488	-2728
365	52456	31958	183944	-78488	-2728
366	52455	31958	183928	-78488	-2728
367	52454	31958	183912	-78488	-2728
368	52453	31958	183896	-78488	-2728
369	52452	31958	183880	-78488	-2728
370	52451	31958	183864	-78488	-2728
371	52450	31958	183848	-78488	-2728
372	52449	31958	183832	-78488	-2728
373	52448	31958	183816	-78488	-2728
374	52447	31958	183800	-78488	-2728
375	52446	31958	183784	-78488	-2728
376	52445	31958	183768	-78488	-2728
377	52444	31958	183752	-78488	-2728
378	52443	31958	183736	-78488	-2728
379	52442	31958	183720	-78488	-2728
380	52441	31958	183704	-78488	-2728
381	52441	31957	183704	-78504	-2728
382	52441	31956	183704	-78520	-2728
383	52441	31955	183704	-78536	-2728
384	52440	31955	183688	-78536	-2728
385	52440	31954	183688	-78552	-2728
386	52439	31954	183672	-78552	-2728
387	52439	31953	183672	-78568	-2728
388	52438	31953	183656	-78568	-2728
389	52437	31953	183640	-78568	-2728
390	52436	31953	183624	-78568	-2728
391	52436	31952	183624	-78584	-2728
392	52435	31952	183608	-78584	-2728
393	52435	31951	183608	-78600	-2728
394	52434	31951	183592	-78600	-2728
395	52434	31950	183592	-78616	-2728
396	52433	31950	183576	-78616	-2728
397	52432	31950	183560	-78616	-2728
398	52431	31950	183544	-78616	-2728
399	52430	31950	183528	-78616	-2728
400	52429	31950	183512	-78616	-2728
401	52428	31950	183496	-78616	-2728
402	52427	31950	183480	-78616	-2728
403	52426	31950	183464	-78616	-2728
404	52425	31950	183448	-78616	-2728
405	52424	31950	183432	-78616	-2728
406	52423	31950	183416	-78616	-2728
407	52422	31950	183400	-78616	-2728
408	52421	31950	183384	-78616	-2728
409	52420	31950	183368	-78616	-2728
410	52419	31950	183352	-78616	-2728
411	52418	31950	183336	-78616	-2728
412	52417	31950	183320	-78616	-2728
413	52416	31950	183304	-78616	-2728
414	52415	31950	183288	-78616	-2728
415	52414	31950	183272	-78616	-2728
416	52413	31950	183256	-78616	-2728
417	52412	31950	183240	-78616	-2728
418	52411	31950	183224	-78616	-2728
419	52410	31950	183208	-78616	-2728
420	52409	31950	183192	-78616	-2728
421	52408	31950	183176	-78616	-2720
422	52407	31950	183160	-78616	-2720
423	52406	31950	183144	-78616	-2720
424	52405	31950	183128	-78616	-2720
425	52404	31950	183112	-78616	-2720
426	52403	31950	183096	-78616	-2720
427	52402	31950	183080	-78616	-2720
428	52401	31950	183064	-78616	-2728
429	52400	31950	183048	-78616	-2728
430	52399	31950	183032	-78616	-2728
431	52398	31950	183016	-78616	-2728
432	52397	31950	183000	-78616	-2728
433	52396	31950	182984	-78616	-2728
434	52395	31950	182968	-78616	-2728
435	52394	31950	182952	-78616	-2728
436	52393	31950	182936	-78616	-2728
437	52392	31950	182920	-78616	-2728
438	52391	31950	182904	-78616	-2728
439	52390	31950	182888	-78616	-2728
440	52389	31950	182872	-78616	-2728
441	52388	31950	182856	-78616	-2728
442	52387	31950	182840	-78616	-2728
443	52386	31950	182824	-78616	-2728
444	52385	31950	182808	-78616	-2728
445	52384	31950	182792	-78616	-2728
446	52383	31950	182776	-78616	-2728
447	52382	31950	182760	-78616	-2728
448	52381	31950	182744	-78616	-2728
449	52380	31950	182728	-78616	-2728
450	52379	31950	182712	-78616	-2728
451	52378	31950	182696	-78616	-2728
452	52377	31950	182680	-78616	-2728
453	52376	31950	182664	-78616	-2728
454	52375	31950	182648	-78616	-2728
455	52374	31950	182632	-78616	-2728
456	52373	31950	182616	-78616	-2728
457	52372	31950	182600	-78616	-2728
458	52371	31950	182584	-78616	-2728
459	52370	31950	182568	-78616	-2728
460	52369	31950	182552	-78616	-2728
461	52368	31950	182536	-78616	-2728
462	52367	31950	182520	-78616	-2728
463	52366	31950	182504	-78616	-2728
464	52365	31950	182488	-78616	-2728
465	52364	31950	182472	-78616	-2728
466	52363	31950	182456	-78616	-2728
467	52362	31950	182440	-78616	-2728
468	52361	31950	182424	-78616	-2728
469	52360	31950	182408	-78616	-2728
470	52359	31950	182392	-78616	-2728
471	52358	31950	182376	-78616	-2728
472	52357	31950	182360	-78616	-2728
473	52356	31950	182344	-78616	-2728
474	52355	31950	182328	-78616	-2728
475	52354	31950	182312	-78616	-2728
476	52353	31950	182296	-78616	-2728
477	52352	31950	182280	-78616	-2728
478	52351	31950	182264	-78616	-2728
479	52350	31950	182248	-78616	-2728
480	52349	31950	182232	-78616	-2728
481	52348	31950	182216	-78616	-2728
482	52347	31950	182200	-78616	-2728
483	52346	31950	182184	-78616	-2728
484	52345	31950	182168	-78616	-2728
485	52344	31950	182152	-78616	-2728
486	52343	31950	182136	-78616	-2728
487	52342	31950	182120	-78616	-2728
488	52341	31950	182104	-78616	-2728
489	52340	31950	182088	-78616	-2728
490	52339	31950	182072	-78616	-2728
491	52338	31950	182056	-78616	-2728
492	52337	31950	182040	-78616	-2728
493	52336	31950	182024	-78616	-2728
494	52335	31950	182008	-78616	-2728
495	52334	31950	181992	-78616	-2728
496	52333	31950	181976	-78616	-2728
497	52332	31950	181960	-78616	-2728
498	52331	31950	181944	-78616	-2728
499	52330	31950	181928	-78616	-2728
500	52329	31950	181912	-78616	-2728
501	52328	31950	181896	-78616	-2728
502	52327	31950	181880	-78616	-2728
503	52326	31950	181864	-78616	-2728
504	52325	31950	181848	-78616	-2728
505	52324	31950	181832	-78616	-2728
506	52323	31950	181816	-78616	-2728
507	52322	31950	181800	-78616	-2728
508	52321	31950	181784	-78616	-2728
509	52320	31950	181768	-78616	-2728
510	52319	31950	181752	-78616	-2728
511	52318	31950	181736	-78616	-2728
512	52317	31950	181720	-78616	-2728
513	52316	31950	181704	-78616	-2728
514	52315	31950	181688	-78616	-2728
515	52314	31950	181672	-78616	-2728
516	52313	31950	181656	-78616	-2728
517	52312	31950	181640	-78616	-2728
518	52311	31950	181624	-78616	-2728
519	52310	31950	181608	-78616	-2728
520	52309	31950	181592	-78616	-2728
521	52308	31950	181576	-78616	-2728
522	52307	31950	181560	-78616	-2728
523	52306	31950	181544	-78616	-2728
524	52305	31950	181528	-78616	-2728
525	52304	31950	181512	-78616	-2728
526	52303	31950	181496	-78616	-2728
527	52302	31950	181480	-78616	-2728
528	52302	31949	181480	-78632	-2728
529	52301	31949	181464	-78632	-2728
530	52301	31948	181464	-78648	-2728
531	52300	31948	181448	-78648	-2728
532	52300	31947	181448	-78664	-2728
533	52299	31947	181432	-78664	-2728
534	52299	31946	181432	-78680	-2728
