coverage_key	family	candidate_index	x	y	z_hint	min_z	max_z	local_x	local_y
01196fc406e6183446f2b1c4d9b3bed31d6fb0d1855ceda8c3f715f4b2a67b4f	TOWER_OF_INSOLENCE	5	113064	17670	996	896	1096	113080	17670
01196fc406e6183446f2b1c4d9b3bed31d6fb0d1855ceda8c3f715f4b2a67b4f	TOWER_OF_INSOLENCE	6	112962	17558	996	896	1096	112978	17558
01196fc406e6183446f2b1c4d9b3bed31d6fb0d1855ceda8c3f715f4b2a67b4f	TOWER_OF_INSOLENCE	7	113056	17942	996	896	1096	113072	17942
01196fc406e6183446f2b1c4d9b3bed31d6fb0d1855ceda8c3f715f4b2a67b4f	TOWER_OF_INSOLENCE	8	113164	17782	996	896	1096	113180	17782
01196fc406e6183446f2b1c4d9b3bed31d6fb0d1855ceda8c3f715f4b2a67b4f	TOWER_OF_INSOLENCE	9	112786	17938	996	896	1096	112802	17938
01196fc406e6183446f2b1c4d9b3bed31d6fb0d1855ceda8c3f715f4b2a67b4f	TOWER_OF_INSOLENCE	10	112948	18102	996	896	1096	112964	18102
018e0d62812dab482b8e9b660170a05ced934711f05188df1d023664ef6e1b58	SSQ_CATACOMBS_NECROPOLIS	1	142864	82392	-5364	-5464	-5264	142880	82392
018e0d62812dab482b8e9b660170a05ced934711f05188df1d023664ef6e1b58	SSQ_CATACOMBS_NECROPOLIS	2	142863	82397	-5364	-5464	-5264	142879	82397
018e0d62812dab482b8e9b660170a05ced934711f05188df1d023664ef6e1b58	SSQ_CATACOMBS_NECROPOLIS	3	142864	81920	-5364	-5464	-5264	142880	81920
018e0d62812dab482b8e9b660170a05ced934711f05188df1d023664ef6e1b58	SSQ_CATACOMBS_NECROPOLIS	4	142694	81920	-5364	-5464	-5264	142710	81920
018e0d62812dab482b8e9b660170a05ced934711f05188df1d023664ef6e1b58	SSQ_CATACOMBS_NECROPOLIS	5	143034	82390	-5364	-5464	-5264	143050	82390
018e0d62812dab482b8e9b660170a05ced934711f05188df1d023664ef6e1b58	SSQ_CATACOMBS_NECROPOLIS	6	143034	81920	-5364	-5464	-5264	143050	81920
018e0d62812dab482b8e9b660170a05ced934711f05188df1d023664ef6e1b58	SSQ_CATACOMBS_NECROPOLIS	7	142864	82864	-5364	-5464	-5264	142880	82864
018e0d62812dab482b8e9b660170a05ced934711f05188df1d023664ef6e1b58	SSQ_CATACOMBS_NECROPOLIS	8	143034	82860	-5364	-5464	-5264	143050	82860
018e0d62812dab482b8e9b660170a05ced934711f05188df1d023664ef6e1b58	SSQ_CATACOMBS_NECROPOLIS	9	142694	82395	-5364	-5464	-5264	142710	82395
018e0d62812dab482b8e9b660170a05ced934711f05188df1d023664ef6e1b58	SSQ_CATACOMBS_NECROPOLIS	10	142694	82870	-5364	-5464	-5264	142710	82870
01b1defa9522009b05e93ef24bdada3dc0bff4185eb02e7ee1b10dffc08f3433	SSQ_CATACOMBS_NECROPOLIS	1	53340	123533	-5374	-5449	-5299	53356	123533
01b1defa9522009b05e93ef24bdada3dc0bff4185eb02e7ee1b10dffc08f3433	SSQ_CATACOMBS_NECROPOLIS	2	53339	123529	-5374	-5449	-5299	53355	123529
01b1defa9522009b05e93ef24bdada3dc0bff4185eb02e7ee1b10dffc08f3433	SSQ_CATACOMBS_NECROPOLIS	3	53340	123368	-5374	-5449	-5299	53356	123368
01b1defa9522009b05e93ef24bdada3dc0bff4185eb02e7ee1b10dffc08f3433	SSQ_CATACOMBS_NECROPOLIS	4	53004	123372	-5374	-5449	-5299	53020	123372
01b1defa9522009b05e93ef24bdada3dc0bff4185eb02e7ee1b10dffc08f3433	SSQ_CATACOMBS_NECROPOLIS	5	53676	123531	-5374	-5449	-5299	53692	123531
01b1defa9522009b05e93ef24bdada3dc0bff4185eb02e7ee1b10dffc08f3433	SSQ_CATACOMBS_NECROPOLIS	6	53676	123364	-5374	-5449	-5299	53692	123364
01b1defa9522009b05e93ef24bdada3dc0bff4185eb02e7ee1b10dffc08f3433	SSQ_CATACOMBS_NECROPOLIS	7	53341	123698	-5374	-5449	-5299	53357	123698
01b1defa9522009b05e93ef24bdada3dc0bff4185eb02e7ee1b10dffc08f3433	SSQ_CATACOMBS_NECROPOLIS	8	53675	123698	-5374	-5449	-5299	53691	123698
01b1defa9522009b05e93ef24bdada3dc0bff4185eb02e7ee1b10dffc08f3433	SSQ_CATACOMBS_NECROPOLIS	9	53005	123535	-5374	-5449	-5299	53021	123535
01b1defa9522009b05e93ef24bdada3dc0bff4185eb02e7ee1b10dffc08f3433	SSQ_CATACOMBS_NECROPOLIS	10	53006	123698	-5374	-5449	-5299	53022	123698
021822d8a1cb8c1c2a32ea67d313672c0050f2b59ffad0b9e49f785e635adb16	SSQ_CATACOMBS_NECROPOLIS	1	-21387	81972	-5130	-5205	-5055	-21371	81972
021822d8a1cb8c1c2a32ea67d313672c0050f2b59ffad0b9e49f785e635adb16	SSQ_CATACOMBS_NECROPOLIS	2	-21386	81972	-5130	-5205	-5055	-21370	81972
021822d8a1cb8c1c2a32ea67d313672c0050f2b59ffad0b9e49f785e635adb16	SSQ_CATACOMBS_NECROPOLIS	3	-21386	81816	-5130	-5205	-5055	-21370	81816
021822d8a1cb8c1c2a32ea67d313672c0050f2b59ffad0b9e49f785e635adb16	SSQ_CATACOMBS_NECROPOLIS	4	-21536	81818	-5130	-5205	-5055	-21520	81818
021822d8a1cb8c1c2a32ea67d313672c0050f2b59ffad0b9e49f785e635adb16	SSQ_CATACOMBS_NECROPOLIS	5	-21239	81972	-5130	-5205	-5055	-21223	81972
021822d8a1cb8c1c2a32ea67d313672c0050f2b59ffad0b9e49f785e635adb16	SSQ_CATACOMBS_NECROPOLIS	6	-21238	81816	-5130	-5205	-5055	-21222	81816
021822d8a1cb8c1c2a32ea67d313672c0050f2b59ffad0b9e49f785e635adb16	SSQ_CATACOMBS_NECROPOLIS	7	-21388	82128	-5130	-5205	-5055	-21372	82128
021822d8a1cb8c1c2a32ea67d313672c0050f2b59ffad0b9e49f785e635adb16	SSQ_CATACOMBS_NECROPOLIS	8	-21240	82129	-5130	-5205	-5055	-21224	82129
021822d8a1cb8c1c2a32ea67d313672c0050f2b59ffad0b9e49f785e635adb16	SSQ_CATACOMBS_NECROPOLIS	9	-21535	81972	-5130	-5205	-5055	-21519	81972
021822d8a1cb8c1c2a32ea67d313672c0050f2b59ffad0b9e49f785e635adb16	SSQ_CATACOMBS_NECROPOLIS	10	-21534	82127	-5130	-5205	-5055	-21518	82127
0251d78e20131518ee9f324d0837b78f5748a549b99cbbcef4ab1b395db08918	SSQ_CATACOMBS_NECROPOLIS	1	50944	116752	-5374	-5449	-5299	50960	116752
0251d78e20131518ee9f324d0837b78f5748a549b99cbbcef4ab1b395db08918	SSQ_CATACOMBS_NECROPOLIS	2	50942	116752	-5374	-5449	-5299	50958	116752
0251d78e20131518ee9f324d0837b78f5748a549b99cbbcef4ab1b395db08918	SSQ_CATACOMBS_NECROPOLIS	3	50943	116603	-5374	-5449	-5299	50959	116603
0251d78e20131518ee9f324d0837b78f5748a549b99cbbcef4ab1b395db08918	SSQ_CATACOMBS_NECROPOLIS	4	50784	116604	-5374	-5449	-5299	50800	116604
0251d78e20131518ee9f324d0837b78f5748a549b99cbbcef4ab1b395db08918	SSQ_CATACOMBS_NECROPOLIS	5	51102	116752	-5374	-5449	-5299	51118	116752
0251d78e20131518ee9f324d0837b78f5748a549b99cbbcef4ab1b395db08918	SSQ_CATACOMBS_NECROPOLIS	6	51102	116603	-5374	-5449	-5299	51118	116603
0251d78e20131518ee9f324d0837b78f5748a549b99cbbcef4ab1b395db08918	SSQ_CATACOMBS_NECROPOLIS	7	50944	116900	-5374	-5449	-5299	50960	116900
0251d78e20131518ee9f324d0837b78f5748a549b99cbbcef4ab1b395db08918	SSQ_CATACOMBS_NECROPOLIS	8	51102	116901	-5374	-5449	-5299	51118	116901
0251d78e20131518ee9f324d0837b78f5748a549b99cbbcef4ab1b395db08918	SSQ_CATACOMBS_NECROPOLIS	9	50786	116752	-5374	-5449	-5299	50802	116752
0251d78e20131518ee9f324d0837b78f5748a549b99cbbcef4ab1b395db08918	SSQ_CATACOMBS_NECROPOLIS	10	50788	116900	-5374	-5449	-5299	50804	116900
02ba0f777f16cfc2ec39483b47b9c0d10fa018278b2901f14d50dc876e21f277	SSQ_CATACOMBS_NECROPOLIS	1	-51918	83708	-4699	-4774	-4624	-51902	83708
02ba0f777f16cfc2ec39483b47b9c0d10fa018278b2901f14d50dc876e21f277	SSQ_CATACOMBS_NECROPOLIS	2	-51917	83712	-4699	-4774	-4624	-51901	83712
02ba0f777f16cfc2ec39483b47b9c0d10fa018278b2901f14d50dc876e21f277	SSQ_CATACOMBS_NECROPOLIS	3	-51920	83556	-4699	-4774	-4624	-51904	83556
02ba0f777f16cfc2ec39483b47b9c0d10fa018278b2901f14d50dc876e21f277	SSQ_CATACOMBS_NECROPOLIS	4	-52080	83556	-4699	-4774	-4624	-52064	83556
02ba0f777f16cfc2ec39483b47b9c0d10fa018278b2901f14d50dc876e21f277	SSQ_CATACOMBS_NECROPOLIS	5	-51758	83706	-4699	-4774	-4624	-51742	83706
02ba0f777f16cfc2ec39483b47b9c0d10fa018278b2901f14d50dc876e21f277	SSQ_CATACOMBS_NECROPOLIS	6	-51760	83556	-4699	-4774	-4624	-51744	83556
02ba0f777f16cfc2ec39483b47b9c0d10fa018278b2901f14d50dc876e21f277	SSQ_CATACOMBS_NECROPOLIS	7	-51916	83860	-4699	-4774	-4624	-51900	83860
02ba0f777f16cfc2ec39483b47b9c0d10fa018278b2901f14d50dc876e21f277	SSQ_CATACOMBS_NECROPOLIS	8	-51756	83856	-4699	-4774	-4624	-51740	83856
02ba0f777f16cfc2ec39483b47b9c0d10fa018278b2901f14d50dc876e21f277	SSQ_CATACOMBS_NECROPOLIS	9	-52078	83710	-4699	-4774	-4624	-52062	83710
02ba0f777f16cfc2ec39483b47b9c0d10fa018278b2901f14d50dc876e21f277	SSQ_CATACOMBS_NECROPOLIS	10	-52076	83864	-4699	-4774	-4624	-52060	83864
02f3460b46ad2daccf3455d47afc90fc1a09f7d3ebe720d158edbd712be9f361	DEVILS_ISLE	1	50882	211620	-2960	-3060	-2860	50898	211620
02f3460b46ad2daccf3455d47afc90fc1a09f7d3ebe720d158edbd712be9f361	DEVILS_ISLE	2	50879	211620	-2960	-3060	-2860	50895	211620
02f3460b46ad2daccf3455d47afc90fc1a09f7d3ebe720d158edbd712be9f361	DEVILS_ISLE	3	50881	211502	-2960	-3060	-2860	50897	211502
02f3460b46ad2daccf3455d47afc90fc1a09f7d3ebe720d158edbd712be9f361	DEVILS_ISLE	4	50756	211502	-2960	-3060	-2860	50772	211502
02f3460b46ad2daccf3455d47afc90fc1a09f7d3ebe720d158edbd712be9f361	DEVILS_ISLE	5	51006	211620	-2960	-3060	-2860	51022	211620
02f3460b46ad2daccf3455d47afc90fc1a09f7d3ebe720d158edbd712be9f361	DEVILS_ISLE	6	51006	211502	-2960	-3060	-2860	51022	211502
02f3460b46ad2daccf3455d47afc90fc1a09f7d3ebe720d158edbd712be9f361	DEVILS_ISLE	7	50884	211739	-2960	-3060	-2860	50900	211739
02f3460b46ad2daccf3455d47afc90fc1a09f7d3ebe720d158edbd712be9f361	DEVILS_ISLE	8	51006	211739	-2960	-3060	-2860	51022	211739
02f3460b46ad2daccf3455d47afc90fc1a09f7d3ebe720d158edbd712be9f361	DEVILS_ISLE	9	50759	211620	-2960	-3060	-2860	50775	211620
02f3460b46ad2daccf3455d47afc90fc1a09f7d3ebe720d158edbd712be9f361	DEVILS_ISLE	10	50762	211739	-2960	-3060	-2860	50778	211739
0342f2ab29359668ef4eb46b5b9976e5cf11976d2c486f81c43bc9c2785dba8f	TOWER_OF_INSOLENCE	1	114647	16068	-2060	-2160	-1960	114663	16068
0342f2ab29359668ef4eb46b5b9976e5cf11976d2c486f81c43bc9c2785dba8f	TOWER_OF_INSOLENCE	2	114652	16068	-2060	-2160	-1960	114668	16068
0342f2ab29359668ef4eb46b5b9976e5cf11976d2c486f81c43bc9c2785dba8f	TOWER_OF_INSOLENCE	3	114648	15533	-2060	-2160	-1960	114664	15533
0342f2ab29359668ef4eb46b5b9976e5cf11976d2c486f81c43bc9c2785dba8f	TOWER_OF_INSOLENCE	4	114486	15530	-2060	-2160	-1960	114502	15530
0342f2ab29359668ef4eb46b5b9976e5cf11976d2c486f81c43bc9c2785dba8f	TOWER_OF_INSOLENCE	5	114888	15567	-2060	-2160	-1960	114904	15567
0342f2ab29359668ef4eb46b5b9976e5cf11976d2c486f81c43bc9c2785dba8f	TOWER_OF_INSOLENCE	6	114812	15536	-2060	-2160	-1960	114828	15536
0342f2ab29359668ef4eb46b5b9976e5cf11976d2c486f81c43bc9c2785dba8f	TOWER_OF_INSOLENCE	7	115044	15674	-2060	-2160	-1960	115060	15674
0342f2ab29359668ef4eb46b5b9976e5cf11976d2c486f81c43bc9c2785dba8f	TOWER_OF_INSOLENCE	8	114964	15598	-2060	-2160	-1960	114980	15598
0342f2ab29359668ef4eb46b5b9976e5cf11976d2c486f81c43bc9c2785dba8f	TOWER_OF_INSOLENCE	9	115154	15824	-2060	-2160	-1960	115170	15824
0342f2ab29359668ef4eb46b5b9976e5cf11976d2c486f81c43bc9c2785dba8f	TOWER_OF_INSOLENCE	10	115124	15750	-2060	-2160	-1960	115140	15750
0342f2ab29359668ef4eb46b5b9976e5cf11976d2c486f81c43bc9c2785dba8f	TOWER_OF_INSOLENCE	11	115186	16063	-2060	-2160	-1960	115202	16063
0342f2ab29359668ef4eb46b5b9976e5cf11976d2c486f81c43bc9c2785dba8f	TOWER_OF_INSOLENCE	12	115186	15898	-2060	-2160	-1960	115202	15898
04199f10955f0df4ab3ac51c581586554a9794e478f60a5b3302cdea5d9b8999	SSQ_CATACOMBS_NECROPOLIS	1	-45798	217231	-5044	-5119	-4969	-45782	217231
04199f10955f0df4ab3ac51c581586554a9794e478f60a5b3302cdea5d9b8999	SSQ_CATACOMBS_NECROPOLIS	2	-45798	217235	-5044	-5119	-4969	-45782	217235
04199f10955f0df4ab3ac51c581586554a9794e478f60a5b3302cdea5d9b8999	SSQ_CATACOMBS_NECROPOLIS	3	-45800	217065	-5044	-5119	-4969	-45784	217065
04199f10955f0df4ab3ac51c581586554a9794e478f60a5b3302cdea5d9b8999	SSQ_CATACOMBS_NECROPOLIS	4	-46142	217068	-5044	-5119	-4969	-46126	217068
04199f10955f0df4ab3ac51c581586554a9794e478f60a5b3302cdea5d9b8999	SSQ_CATACOMBS_NECROPOLIS	5	-45455	217226	-5044	-5119	-4969	-45439	217226
04199f10955f0df4ab3ac51c581586554a9794e478f60a5b3302cdea5d9b8999	SSQ_CATACOMBS_NECROPOLIS	6	-45456	217062	-5044	-5119	-4969	-45440	217062
04199f10955f0df4ab3ac51c581586554a9794e478f60a5b3302cdea5d9b8999	SSQ_CATACOMBS_NECROPOLIS	7	-45797	217397	-5044	-5119	-4969	-45781	217397
04199f10955f0df4ab3ac51c581586554a9794e478f60a5b3302cdea5d9b8999	SSQ_CATACOMBS_NECROPOLIS	8	-45454	217390	-5044	-5119	-4969	-45438	217390
04199f10955f0df4ab3ac51c581586554a9794e478f60a5b3302cdea5d9b8999	SSQ_CATACOMBS_NECROPOLIS	9	-46142	217236	-5044	-5119	-4969	-46126	217236
04199f10955f0df4ab3ac51c581586554a9794e478f60a5b3302cdea5d9b8999	SSQ_CATACOMBS_NECROPOLIS	10	-46140	217404	-5044	-5119	-4969	-46124	217404
047e45cfcece79be9e9372d1a84667df59730b1568819515811f589b23d27ee6	SSQ_CATACOMBS_NECROPOLIS	1	53188	113239	-5374	-5449	-5299	53204	113239
047e45cfcece79be9e9372d1a84667df59730b1568819515811f589b23d27ee6	SSQ_CATACOMBS_NECROPOLIS	2	53187	113241	-5374	-5449	-5299	53203	113241
047e45cfcece79be9e9372d1a84667df59730b1568819515811f589b23d27ee6	SSQ_CATACOMBS_NECROPOLIS	3	53190	113073	-5374	-5449	-5299	53206	113073
047e45cfcece79be9e9372d1a84667df59730b1568819515811f589b23d27ee6	SSQ_CATACOMBS_NECROPOLIS	4	52858	113070	-5374	-5449	-5299	52874	113070
047e45cfcece79be9e9372d1a84667df59730b1568819515811f589b23d27ee6	SSQ_CATACOMBS_NECROPOLIS	5	53521	113243	-5374	-5449	-5299	53537	113243
047e45cfcece79be9e9372d1a84667df59730b1568819515811f589b23d27ee6	SSQ_CATACOMBS_NECROPOLIS	6	53522	113076	-5374	-5449	-5299	53538	113076
047e45cfcece79be9e9372d1a84667df59730b1568819515811f589b23d27ee6	SSQ_CATACOMBS_NECROPOLIS	7	53186	113406	-5374	-5449	-5299	53202	113406
047e45cfcece79be9e9372d1a84667df59730b1568819515811f589b23d27ee6	SSQ_CATACOMBS_NECROPOLIS	8	53520	113410	-5374	-5449	-5299	53536	113410
047e45cfcece79be9e9372d1a84667df59730b1568819515811f589b23d27ee6	SSQ_CATACOMBS_NECROPOLIS	9	52855	113236	-5374	-5449	-5299	52871	113236
047e45cfcece79be9e9372d1a84667df59730b1568819515811f589b23d27ee6	SSQ_CATACOMBS_NECROPOLIS	10	52853	113401	-5374	-5449	-5299	52869	113401
0561637d99bf779d51d7d3167933861f5d2116b4fe5c41d950173a1b86763961	SSQ_CATACOMBS_NECROPOLIS	1	-43504	79486	-4700	-4775	-4625	-43488	79486
0561637d99bf779d51d7d3167933861f5d2116b4fe5c41d950173a1b86763961	SSQ_CATACOMBS_NECROPOLIS	2	-43506	79485	-4700	-4775	-4625	-43490	79485
0561637d99bf779d51d7d3167933861f5d2116b4fe5c41d950173a1b86763961	SSQ_CATACOMBS_NECROPOLIS	3	-43503	79152	-4700	-4775	-4625	-43487	79152
0561637d99bf779d51d7d3167933861f5d2116b4fe5c41d950173a1b86763961	SSQ_CATACOMBS_NECROPOLIS	4	-43666	79150	-4700	-4775	-4625	-43650	79150
0561637d99bf779d51d7d3167933861f5d2116b4fe5c41d950173a1b86763961	SSQ_CATACOMBS_NECROPOLIS	5	-43340	79486	-4700	-4775	-4625	-43324	79486
0561637d99bf779d51d7d3167933861f5d2116b4fe5c41d950173a1b86763961	SSQ_CATACOMBS_NECROPOLIS	6	-43341	79152	-4700	-4775	-4625	-43325	79152
0561637d99bf779d51d7d3167933861f5d2116b4fe5c41d950173a1b86763961	SSQ_CATACOMBS_NECROPOLIS	7	-43505	79820	-4700	-4775	-4625	-43489	79820
0561637d99bf779d51d7d3167933861f5d2116b4fe5c41d950173a1b86763961	SSQ_CATACOMBS_NECROPOLIS	8	-43339	79820	-4700	-4775	-4625	-43323	79820
0561637d99bf779d51d7d3167933861f5d2116b4fe5c41d950173a1b86763961	SSQ_CATACOMBS_NECROPOLIS	9	-43668	79486	-4700	-4775	-4625	-43652	79486
0561637d99bf779d51d7d3167933861f5d2116b4fe5c41d950173a1b86763961	SSQ_CATACOMBS_NECROPOLIS	10	-43671	79820	-4700	-4775	-4625	-43655	79820
0570910db17d9f20a9d86883f3b33b5d3ea8966bad3d5a12711d927830449601	SSQ_CATACOMBS_NECROPOLIS	1	16323	-248197	-9516	-9616	-9416	16339	-248197
0570910db17d9f20a9d86883f3b33b5d3ea8966bad3d5a12711d927830449601	SSQ_CATACOMBS_NECROPOLIS	2	16327	-248197	-9516	-9616	-9416	16343	-248197
0570910db17d9f20a9d86883f3b33b5d3ea8966bad3d5a12711d927830449601	SSQ_CATACOMBS_NECROPOLIS	3	16320	-248546	-9516	-9616	-9416	16336	-248546
0570910db17d9f20a9d86883f3b33b5d3ea8966bad3d5a12711d927830449601	SSQ_CATACOMBS_NECROPOLIS	4	16146	-248546	-9516	-9616	-9416	16162	-248546
0570910db17d9f20a9d86883f3b33b5d3ea8966bad3d5a12711d927830449601	SSQ_CATACOMBS_NECROPOLIS	5	16500	-248197	-9516	-9616	-9416	16516	-248197
0570910db17d9f20a9d86883f3b33b5d3ea8966bad3d5a12711d927830449601	SSQ_CATACOMBS_NECROPOLIS	6	16496	-248546	-9516	-9616	-9416	16512	-248546
0570910db17d9f20a9d86883f3b33b5d3ea8966bad3d5a12711d927830449601	SSQ_CATACOMBS_NECROPOLIS	7	16325	-247849	-9516	-9616	-9416	16341	-247849
0570910db17d9f20a9d86883f3b33b5d3ea8966bad3d5a12711d927830449601	SSQ_CATACOMBS_NECROPOLIS	8	16505	-247848	-9516	-9616	-9416	16521	-247848
0570910db17d9f20a9d86883f3b33b5d3ea8966bad3d5a12711d927830449601	SSQ_CATACOMBS_NECROPOLIS	9	16146	-248198	-9516	-9616	-9416	16162	-248198
0570910db17d9f20a9d86883f3b33b5d3ea8966bad3d5a12711d927830449601	SSQ_CATACOMBS_NECROPOLIS	10	16146	-247850	-9516	-9616	-9416	16162	-247850
05bbbe1f28986b0a9c5cc4d065f30252b3d0395e00c439a99235489800c85758	SSQ_CATACOMBS_NECROPOLIS	1	-20218	-246174	-8124	-8199	-8049	-20202	-246174
05bbbe1f28986b0a9c5cc4d065f30252b3d0395e00c439a99235489800c85758	SSQ_CATACOMBS_NECROPOLIS	2	-20216	-246173	-8124	-8199	-8049	-20200	-246173
05bbbe1f28986b0a9c5cc4d065f30252b3d0395e00c439a99235489800c85758	SSQ_CATACOMBS_NECROPOLIS	3	-20219	-246324	-8124	-8199	-8049	-20203	-246324
05bbbe1f28986b0a9c5cc4d065f30252b3d0395e00c439a99235489800c85758	SSQ_CATACOMBS_NECROPOLIS	4	-20377	-246324	-8124	-8199	-8049	-20361	-246324
05bbbe1f28986b0a9c5cc4d065f30252b3d0395e00c439a99235489800c85758	SSQ_CATACOMBS_NECROPOLIS	5	-20059	-246173	-8124	-8199	-8049	-20043	-246173
05bbbe1f28986b0a9c5cc4d065f30252b3d0395e00c439a99235489800c85758	SSQ_CATACOMBS_NECROPOLIS	6	-20061	-246324	-8124	-8199	-8049	-20045	-246324
05bbbe1f28986b0a9c5cc4d065f30252b3d0395e00c439a99235489800c85758	SSQ_CATACOMBS_NECROPOLIS	7	-20217	-246023	-8124	-8199	-8049	-20201	-246023
05bbbe1f28986b0a9c5cc4d065f30252b3d0395e00c439a99235489800c85758	SSQ_CATACOMBS_NECROPOLIS	8	-20056	-246022	-8124	-8199	-8049	-20040	-246022
05bbbe1f28986b0a9c5cc4d065f30252b3d0395e00c439a99235489800c85758	SSQ_CATACOMBS_NECROPOLIS	9	-20377	-246174	-8124	-8199	-8049	-20361	-246174
05bbbe1f28986b0a9c5cc4d065f30252b3d0395e00c439a99235489800c85758	SSQ_CATACOMBS_NECROPOLIS	10	-20377	-246024	-8124	-8199	-8049	-20361	-246024
06ce1343592e93889b5c235279c9658a0d0f3d3eb2915207fee0c83a24e24164	IVORY_TOWER	1	95459	13873	-3420	-3720	-3120	95475	13873
06ce1343592e93889b5c235279c9658a0d0f3d3eb2915207fee0c83a24e24164	IVORY_TOWER	2	95658	14192	-3420	-3720	-3120	95674	14192
06ce1343592e93889b5c235279c9658a0d0f3d3eb2915207fee0c83a24e24164	IVORY_TOWER	3	95950	13136	-3420	-3720	-3120	95966	13136
06ce1343592e93889b5c235279c9658a0d0f3d3eb2915207fee0c83a24e24164	IVORY_TOWER	4	95504	12696	-3420	-3720	-3120	95520	12696
06ce1343592e93889b5c235279c9658a0d0f3d3eb2915207fee0c83a24e24164	IVORY_TOWER	5	95806	14472	-3420	-3720	-3120	95822	14472
06ce1343592e93889b5c235279c9658a0d0f3d3eb2915207fee0c83a24e24164	IVORY_TOWER	6	96396	13574	-3420	-3720	-3120	96412	13574
06ce1343592e93889b5c235279c9658a0d0f3d3eb2915207fee0c83a24e24164	IVORY_TOWER	7	94968	14610	-3420	-3720	-3120	94984	14610
06ce1343592e93889b5c235279c9658a0d0f3d3eb2915207fee0c83a24e24164	IVORY_TOWER	8	95216	15368	-3420	-3720	-3120	95232	15368
06ce1343592e93889b5c235279c9658a0d0f3d3eb2915207fee0c83a24e24164	IVORY_TOWER	9	95112	13274	-3420	-3720	-3120	95128	13274
06ce1343592e93889b5c235279c9658a0d0f3d3eb2915207fee0c83a24e24164	IVORY_TOWER	10	94722	13852	-3420	-3720	-3120	94738	13852
06de56e48e26f447faba1eec721d92abf4957d60c24c0b6fc537f2f3077bbe94	TOWER_OF_INSOLENCE	1	116334	14373	988	888	1088	116350	14373
06de56e48e26f447faba1eec721d92abf4957d60c24c0b6fc537f2f3077bbe94	TOWER_OF_INSOLENCE	2	116388	14308	988	888	1088	116404	14308
06de56e48e26f447faba1eec721d92abf4957d60c24c0b6fc537f2f3077bbe94	TOWER_OF_INSOLENCE	3	116475	14216	988	888	1088	116491	14216
06de56e48e26f447faba1eec721d92abf4957d60c24c0b6fc537f2f3077bbe94	TOWER_OF_INSOLENCE	4	116321	14058	988	888	1088	116337	14058
06de56e48e26f447faba1eec721d92abf4957d60c24c0b6fc537f2f3077bbe94	TOWER_OF_INSOLENCE	5	116461	14498	988	888	1088	116477	14498
06de56e48e26f447faba1eec721d92abf4957d60c24c0b6fc537f2f3077bbe94	TOWER_OF_INSOLENCE	6	116629	14372	988	888	1088	116645	14372
06de56e48e26f447faba1eec721d92abf4957d60c24c0b6fc537f2f3077bbe94	TOWER_OF_INSOLENCE	7	116193	14530	988	888	1088	116209	14530
06de56e48e26f447faba1eec721d92abf4957d60c24c0b6fc537f2f3077bbe94	TOWER_OF_INSOLENCE	8	116293	14622	988	888	1088	116309	14622
